Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,160,71,89,44.4%,183-215,46.0%,1973-2078,48.7%,44-48,47.8%,160,81.1%,16.1%,10.9%,4.8%,58.6%,74.4%,50.3%,64.4%,33.8%,49.3%,0.95
Clay,48,19,29,39.6%,60-77,43.8%,684-716,48.9%,7-18,28.0%,48,80.1%,18.2%,7.7%,4.6%,59.3%,72.0%,50.1%,63.1%,34.1%,49.1%,0.92
Grass,32,15,17,46.9%,39-49,44.3%,437-483,47.5%,10-9,52.6%,32,80.0%,14.8%,11.3%,6.8%,59.3%,74.0%,49.6%,64.0%,33.1%,48.8%,0.92
Grand Slams,45,17,28,37.8%,72-98,42.4%,837-899,48.2%,11-24,31.4%,45,79.3%,17.6%,9.3%,5.3%,58.9%,71.8%,49.7%,62.7%,34.3%,48.8%,0.92
Masters,44,15,29,34.1%,39-63,38.2%,505-563,47.3%,10-19,34.5%,44,80.4%,15.1%,9.5%,5.2%,58.7%,74.0%,49.1%,63.7%,32.7%,48.7%,0.90
Other Tours,150,73,77,48.7%,171-178,49.0%,1744-1803,49.2%,40-32,55.6%,150,81.6%,16.2%,11.0%,4.9%,58.9%,74.7%,50.7%,64.8%,33.9%,49.6%,0.96
Best of 5,45,17,28,37.8%,72-98,42.4%,837-899,48.2%,11-24,31.4%,45,79.3%,17.6%,9.3%,5.3%,58.9%,71.8%,49.7%,62.7%,34.3%,48.8%,0.92
Best of 3,195,88,107,45.1%,210-243,46.4%,2257-2378,48.7%,50-51,49.5%,195,81.3%,15.9%,10.7%,5.0%,58.8%,74.6%,50.3%,64.6%,33.5%,49.4%,0.95
Finals,4,0,4,0.0%,2-8,20.0%,45-58,43.7%,1-0,100.0%,4,76.5%,9.8%,12.4%,5.8%,59.1%,70.8%,48.1%,61.5%,31.3%,47.0%,0.81
Semi-finals,8,4,4,50.0%,8-10,44.4%,79-91,46.5%,2-0,100.0%,8,77.4%,14.3%,12.7%,4.4%,62.3%,71.1%,50.5%,63.3%,30.3%,47.8%,0.83
Quarter-finals,14,8,6,57.1%,16-16,50.0%,163-169,49.1%,4-3,57.1%,14,83.5%,13.7%,10.9%,4.8%,61.1%,76.2%,52.7%,67.0%,33.2%,49.9%,1.01
vs Righties,204,88,116,43.1%,237-293,44.7%,2623-2782,48.5%,51-62,45.1%,204,80.4%,16.7%,10.2%,5.0%,59.0%,73.6%,50.1%,63.9%,33.9%,49.2%,0.94
vs Lefties,36,17,19,47.2%,45-48,48.4%,471-495,48.8%,10-13,43.5%,36,82.9%,14.5%,10.8%,5.6%,58.1%,75.0%,50.6%,64.8%,33.0%,49.2%,0.94
vs Top 10,22,4,18,18.2%,14-40,25.9%,237-305,43.7%,2-11,15.4%,22,77.6%,11.8%,7.8%,4.5%,60.5%,70.3%,50.6%,62.5%,29.1%,46.4%,0.78
