Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),32,1431,73,1771,70,1735,114,1615,83,1618,17,3320,,
2025,51,1127,88,1743,75,1710,125,1601,85,1604,28,2768
2024,103,755,126,1667,118,1637,120,1597,125,1520,20,3688
2023,61,983,83,1710,75,1684,112,1597,95,1554,,
2022,105,611,107,1662,97,1655,124,1553,96,1541,,
2021,161,444,169,1546,165,1523,191,1445,134,1486,,
2020,162,444,146,1531,157,1456,136,1481,,,272,304
2019,170,359,181,1563,181,1518,195,1448,166,1444,240,315
2018,319,132,,,,,,,,,191,359
2017,425,88,,,,,,,,,292,229
2016,585,43,,,,,,,,,1029,14
2015,749,22,,,,,,,,,1150,10
2014,1152,4,,,,,,,,,,
2013,1249,3,,,,,,,,,,
