Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,286,198,88,69.2%,429-217,66.4%,3474-2725,56.0%,48-45,51.6%,266,79.0%,32.5%,9.2%,3.9%,58.0%,72.2%,50.2%,63.0%,42.5%,52.7%,1.15
Clay,87,63,24,72.4%,136-55,71.2%,1031-764,57.4%,14-9,60.9%,84,75.5%,37.9%,7.0%,4.3%,58.9%,69.6%,48.3%,60.8%,44.9%,52.9%,1.15
Grass,47,34,13,72.3%,71-31,69.6%,556-428,56.5%,11-5,68.8%,47,82.4%,30.0%,10.1%,4.8%,57.2%,75.7%,49.0%,64.3%,42.3%,53.1%,1.18
Grand Slams,90,66,24,73.3%,143-53,73.0%,1074-752,58.8%,13-6,68.4%,88,80.4%,36.4%,9.0%,4.1%,57.4%,73.9%,50.1%,63.8%,44.3%,53.9%,1.22
Premiers,157,100,57,63.7%,220-125,63.8%,1835-1500,55.0%,26-29,47.3%,149,77.9%,32.1%,8.9%,4.1%,58.1%,71.5%,49.1%,62.1%,42.2%,52.1%,1.11
Internationals,59,45,14,76.3%,95-39,70.9%,718-533,57.4%,11-7,61.1%,57,77.9%,35.8%,7.0%,4.1%,59.8%,69.8%,51.7%,62.5%,44.3%,53.3%,1.18
Finals,24,12,12,50.0%,28-28,50.0%,270-254,51.5%,4-6,40.0%,23,76.4%,27.5%,8.5%,3.3%,59.3%,69.5%,48.7%,61.0%,40.5%,50.9%,1.04
Semi-finals,42,24,18,57.1%,57-41,58.2%,511-441,53.7%,8-8,50.0%,39,77.2%,29.4%,9.7%,4.1%,59.3%,71.3%,48.1%,61.9%,41.4%,51.4%,1.09
Quarter-finals,62,40,22,64.5%,86-55,61.0%,745-649,53.4%,16-10,61.5%,59,77.1%,29.6%,9.4%,3.9%,58.6%,70.8%,49.3%,61.9%,41.1%,51.6%,1.08
vs Righties,386,273,113,70.7%,588-274,68.2%,4663-3573,56.6%,68-53,56.2%,361,78.9%,33.6%,8.8%,4.1%,58.2%,72.1%,49.9%,62.8%,43.1%,52.9%,1.16
vs Lefties,31,19,12,61.3%,42-28,60.0%,357-311,53.4%,4-6,40.0%,31,77.2%,29.4%,9.9%,4.2%,58.2%,72.3%,47.2%,61.8%,40.4%,51.3%,1.06
vs Top 10,68,37,31,54.4%,86-73,54.1%,817-747,52.2%,14-17,45.2%,62,76.7%,27.6%,9.0%,3.6%,58.2%,70.6%,48.4%,61.3%,40.4%,51.0%,1.05
