Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2022 Warsaw R16,L vs Swiatek,3.7,4.0,3.4,42.6%,25.0%,33.3%,28.6%,58.4%,56.5%,-4.0,-5.1,-5.0,-19.2
2020 ITF Midland R32,W vs Brengle,6.0,5.7,6.4,48.2%,60.5%,40.9%,58.6%,51.2%,16.2%,13.5,7.2,8.0,5.1
Career (2 matches),,5.1,5.0,5.2,45.3%,49.2%,38.2%,52.8%,53.1%,26.1%,4.8,3.6,1.5,1.6
