Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,3,1,2,33.3%,2-4,33.3%,21-29,42.0%,0-0,-,3,72.0%,12.0%,3.0%,5.5%,66.7%,64.5%,47.3%,58.8%,32.9%,46.5%,0.80,R16 (Midland 125)
2025,27,15,12,55.6%,34-28,54.8%,293-275,51.6%,1-2,33.3%,27,63.9%,39.1%,1.6%,3.4%,63.8%,61.5%,45.6%,55.7%,45.2%,50.6%,1.02,W (W50 Pelham)
2024,30,13,17,43.3%,31-36,46.3%,305-329,48.1%,4-5,44.4%,3,63.6%,51.6%,0.5%,1.8%,66.5%,57.1%,52.7%,55.7%,48.2%,52.2%,1.09,F (W75+H Vero Beach FL)
2023,39,21,18,53.8%,43-41,51.2%,386-385,50.1%,4-5,44.4%,2,53.8%,41.7%,1.2%,3.7%,68.3%,57.1%,42.3%,52.4%,48.4%,50.7%,1.02,SF (4x)
2022,20,9,11,45.0%,22-26,45.8%,213-238,47.2%,4-1,80.0%,2,54.2%,32.0%,2.6%,3.9%,68.4%,53.8%,42.9%,50.3%,42.5%,46.5%,0.85,W (W100 Bonita Springs FL)
2021,23,11,12,47.8%,24-27,47.1%,225-249,47.5%,5-1,83.3%,1,37.5%,12.5%,0.0%,10.0%,60.0%,52.8%,33.3%,45.0%,23.1%,36.4%,0.42,SF (W60 Brasilia)
2020,25,15,10,60.0%,34-23,59.6%,270-243,52.6%,6-1,85.7%,1,33.3%,33.3%,0.0%,10.9%,61.8%,47.1%,33.3%,41.8%,43.6%,42.7%,0.75,F (W25 Frydek Mistek)
2019,41,22,19,53.7%,53-43,55.2%,458-419,52.2%,5-5,50.0%,0,,,,,,,,,,,,W (W25 Redding CA)
2018,21,15,6,71.4%,33-13,71.7%,251-165,60.3%,2-1,66.7%,0,,,,,,,,,,,,W (2x)
2017,17,10,7,58.8%,22-18,55.0%,193-173,52.7%,2-0,100.0%,0,,,,,,,,,,,,W (Bucharest $15K)
2016,22,13,9,59.1%,28-20,58.3%,228-203,52.9%,3-2,60.0%,0,,,,,,,,,,,,F (Targu Jiu $10K)
2015,11,5,6,45.5%,11-13,45.8%,107-106,50.2%,0-1,0.0%,0,,,,,,,,,,,,SF (Galati $10K)
2014,41,24,17,58.5%,53-39,57.6%,429-378,53.2%,3-0,100.0%,0,,,,,,,,,,,,F (Bucharest 10K)
2013,19,8,11,42.1%,17-26,39.5%,190-205,48.1%,1-2,33.3%,0,,,,,,,,,,,,QF (Bals 10K)
2012,18,9,9,50.0%,21-19,52.5%,190-184,50.8%,2-1,66.7%,0,,,,,,,,,,,,SF (2x)
2011,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,0,,,,,,,,,,,,R32 (Bucharest 10K)
Career,358,191,167,53.4%,428-378,53.1%,3766-3593,51.2%,42-27,60.9%,39,62.2%,37.3%,1.6%,3.7%,64.5%,60.2%,45.5%,54.9%,44.2%,49.7%,0.98,
