Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,138,50,88,36.2%,128-205,38.4%,1542-1787,46.3%,33-39,45.8%,126,79.6%,13.8%,6.0%,2.0%,64.4%,69.5%,53.3%,63.7%,32.3%,48.3%,0.89
Clay,118,56,62,47.5%,135-148,47.7%,1366-1444,48.6%,29-27,51.8%,110,77.6%,19.4%,4.1%,1.6%,68.4%,68.1%,52.5%,63.2%,36.1%,49.5%,0.98
Grass,32,16,16,50.0%,45-51,46.9%,446-505,46.9%,14-5,73.7%,31,81.2%,11.2%,6.7%,2.0%,67.0%,70.2%,52.5%,64.4%,31.0%,48.4%,0.87
Carpet,3,1,2,33.3%,3-4,42.9%,40-40,50.0%,2-2,50.0%,3,92.1%,7.9%,6.3%,1.5%,64.1%,74.6%,55.7%,67.8%,31.3%,50.0%,0.97
Grand Slams,59,25,34,42.4%,84-117,41.8%,908-1049,46.4%,22-13,62.9%,58,78.2%,14.5%,5.9%,1.9%,66.2%,69.1%,53.0%,63.6%,32.9%,48.4%,0.91
Masters,55,21,34,38.2%,50-72,41.0%,583-640,47.7%,9-18,33.3%,55,79.9%,16.5%,3.9%,1.5%,65.1%,68.1%,55.6%,63.7%,34.4%,48.9%,0.95
Other Tours,161,70,91,43.5%,160-193,45.3%,1704-1855,47.9%,44-38,53.7%,157,79.5%,16.0%,5.6%,1.9%,66.8%,69.4%,51.9%,63.6%,33.8%,49.0%,0.93
Best of 5,69,27,42,39.1%,91-141,39.2%,1037-1231,45.7%,25-16,61.0%,58,78.2%,14.5%,5.9%,1.9%,66.2%,69.1%,53.0%,63.6%,32.9%,48.4%,0.91
Best of 3,222,96,126,43.2%,220-267,45.2%,2357-2545,48.1%,53-57,48.2%,212,79.6%,16.1%,5.1%,1.8%,66.4%,69.1%,52.9%,63.6%,34.0%,49.0%,0.94
Finals,1,0,1,0.0%,1-2,33.3%,16-19,45.7%,1-1,50.0%,1,88.2%,0.0%,4.8%,1.6%,71.2%,67.4%,58.3%,64.8%,26.7%,47.4%,0.76
Semi-finals,3,1,2,33.3%,2-5,28.6%,34-43,44.2%,2-0,100.0%,3,73.0%,13.2%,8.0%,3.4%,69.6%,65.6%,42.5%,58.6%,32.7%,46.7%,0.79
Quarter-finals,16,3,13,18.8%,10-24,29.4%,146-187,43.8%,2-4,33.3%,15,75.5%,12.8%,4.9%,2.4%,67.5%,65.3%,51.8%,60.9%,31.7%,46.6%,0.81
vs Righties,260,108,152,41.5%,275-366,42.9%,3028-3380,47.3%,74-66,52.9%,239,79.2%,15.4%,5.4%,1.9%,66.4%,69.0%,53.4%,63.7%,33.5%,48.8%,0.92
vs Lefties,31,15,16,48.4%,36-42,46.2%,366-396,48.0%,4-7,36.4%,31,78.7%,17.6%,4.8%,1.7%,65.9%,69.8%,49.6%,62.9%,34.8%,48.9%,0.94
vs Top 10,48,2,46,4.2%,14-107,11.6%,439-733,37.5%,5-17,22.7%,43,69.3%,6.9%,4.1%,1.6%,66.2%,63.8%,47.6%,58.3%,28.8%,44.1%,0.69
