Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Roland Garros R128,L vs Pouille,105.8,114.9,6.3,,,121,93,90.5,5.9,,,101,78
2018 Wimbledon R64,L vs Fognini,112.4,117.8,5.6,120.7,113.9,128,94,98.4,6.6,104.3,94.7,108,84
2017 Wimbledon R64,L vs Tsonga,108.0,115.2,5.3,117.4,112.1,125,89,92.2,5.7,93.4,88.3,105,79
2017 Roland Garros R64,L vs Thiem,102.9,105.9,6.8,109.5,101.7,120,92,89.7,4.5,91.6,87.1,98,82
2017 Roland Garros R128,W vs Mahut,104.3,108.0,8.2,,,122,88,91.3,5.7,,,104,83
2016 Roland Garros R128,L vs Nishikori,101.4,109.7,5.1,110.4,108.7,118,96,88.2,8.4,89.0,81.0,103,61
2016 Australian Open R64,L vs Tomic,104.7,108.8,6.3,,,123,94,91.8,3.8,,,100,83
2015 US Open R128,L vs Goffin,110.7,116.4,6.2,,,126,89,98.6,5.1,,,107,86
2015 Wimbledon R128,L vs Nishikori,113.8,119.6,4.3,,,126,103,100.8,5.7,,,113,87
2015 Roland Garros R32,L vs Ferrer,108.0,116.3,7.0,,,127,93,87.0,7.1,,,100,71
2015 Australian Open R64,L vs Federer,109.9,121.4,4.2,,,131,111,97.1,6.3,,,113,82
2015 Australian Open R128,W vs Monaco,107.6,117.0,3.9,,,124,105,93.4,5.9,,,106,79
2014 US Open R64,L vs Robredo,109.3,118.3,9.0,,,129,64,91.1,6.5,,,108,78
2014 US Open R128,W vs Pospisil,108.3,117.3,6.5,,,129,99,92.4,8.0,,,106,72
2014 Roland Garros R64,L vs Ferrer,105.3,114.9,9.2,,,126,69,88.1,5.8,,,97,76
2013 Wimbledon R128,L vs Dimitrov,109.2,,,,,127,,,,,,,84
2013 Australian Open R128,L vs Janowicz,104.2,,,,,127,,,,,,,65
2012 Roland Garros R128,L vs Nadal,107.0,,,,,126,,,,,,,88
2011 Wimbledon R64,W vs Wawrinka,105.2,114.8,8.3,,,129,96,87.1,7.9,,,106,70
2011 Roland Garros R64,L vs Murray,106.3,112.7,6.9,,,125,93,93.0,5.7,,,108,82
Career (20 matches),,107.4,114.6,6.5,113.9,108.2,131,64,92.5,6.3,93.3,87.2,113,61
