Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,16,7,9,43.8%,1,0,1,0.0%,2003,2011,R32,7,0.91,2.0%,3.3%,67.7%,57.8%,42.5%,52.9%,43.1%,60.0%,38.2%
Roland Garros,9,Clay,14,5,9,35.7%,2,1,1,50.0%,2003,2011,R16,9,1.00,2.1%,2.8%,72.4%,60.3%,46.2%,56.4%,43.4%,49.3%,51.7%
Wimbledon,10,Grass,15,5,10,33.3%,2,0,2,0.0%,2000,2011,R32,9,0.92,2.7%,4.7%,65.3%,57.9%,44.2%,53.1%,43.2%,46.8%,46.3%
US Open,8,Hard,22,14,8,63.6%,4,3,1,75.0%,2000,2010,QF,10,1.11,1.6%,4.5%,66.0%,62.4%,48.1%,57.5%,47.0%,58.5%,46.3%
Olympics,1,,4,3,1,75.0%,0,0,0,-,2008,2008,QF,0,,,,,,,,,,
Fed Cup,6,,15,9,6,60.0%,2,0,2,0.0%,2004,2011,,0,,,,,,,,,,
Linz,11,Hard,16,5,11,31.3%,4,2,2,50.0%,1998,2010,QF,7,0.91,0.9%,3.2%,69.8%,57.7%,46.6%,54.3%,41.5%,44.2%,36.7%
Indian Wells,8,Hard,21,13,8,61.9%,2,1,1,50.0%,2004,2011,SF,15,1.09,1.6%,3.7%,65.6%,58.3%,51.7%,56.0%,47.9%,56.1%,63.0%
Miami,6,Hard,7,1,6,14.3%,2,0,2,0.0%,2006,2011,R32,7,0.92,0.2%,4.8%,68.8%,56.0%,45.6%,52.8%,43.6%,49.3%,60.0%
Pattaya,4,Hard,14,11,3,78.6%,2,1,1,50.0%,2006,2010,W,5,0.98,1.2%,3.5%,69.6%,57.4%,48.1%,54.6%,44.4%,58.9%,46.0%
Cincinnati,4,Hard,12,8,4,66.7%,2,2,0,100.0%,2005,2010,QF,7,0.98,2.1%,6.8%,67.4%,65.8%,44.1%,58.7%,40.3%,65.5%,37.5%
Berlin,4,Clay,9,5,4,55.6%,1,1,0,100.0%,2003,2008,R16,8,1.04,1.0%,3.7%,68.6%,57.4%,50.5%,55.2%,46.6%,53.5%,40.7%
