Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2010,68,904,65,1777,61,1730,62,1703,95,1564,,,,
2009,54,1190,49,1831,49,1769,46,1758,84,1592,,,,
2008,26,1042,35,1857,33,1812,46,1736,60,1624,,,,
2007,19,1323,26,1929,27,1856,32,1790,39,1688,,,,
2006,49,430,78,1721,79,1656,127,1552,95,1552,,,,
2005,77,434,92,1705,76,1667,159,1493,128,1482,,,,
2004,175,189,178,1530,147,1534,204,1376,185,1375,,,,
2003,148,211,,,,,,,,,,,,
2002,177,179,,,,,,,,,,,,
2000,294,62,,,,,,,,,,,,
1999,240,83,,,,,,,,,,,,
1998,235,82,,,,,,,,,,,,
1997,514,17,,,,,,,,,,,,
1996,826,4,,,,,,,,,,,,
1995,843,,,,,,,,,,,,,
