Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,48,17,31,35.4%,44-68,39.3%,501-591,45.9%,11-6,64.7%,47,69.2%,20.8%,5.7%,3.7%,61.0%,67.3%,45.0%,58.6%,36.3%,47.9%,0.88
Clay,7,0,7,0.0%,3-14,17.6%,58-96,37.7%,0-0,-,7,50.6%,24.0%,2.4%,5.0%,63.1%,56.0%,40.9%,50.4%,37.7%,44.3%,0.76
Grass,7,1,6,14.3%,5-15,25.0%,86-115,42.8%,0-3,0.0%,7,63.6%,23.2%,3.4%,5.5%,61.0%,65.5%,40.2%,55.6%,37.1%,46.6%,0.84
Grand Slams,9,1,8,11.1%,9-24,27.3%,129-182,41.5%,2-3,40.0%,9,61.7%,20.9%,3.0%,3.5%,64.6%,62.9%,40.6%,55.0%,37.4%,46.4%,0.83
Masters,4,1,3,25.0%,2-5,28.6%,25-36,41.0%,0-0,-,4,55.9%,21.9%,3.6%,5.0%,56.1%,57.7%,41.8%,50.7%,36.4%,44.8%,0.74
Other Tours,49,16,33,32.7%,41-68,37.6%,491-584,45.7%,9-6,60.0%,48,68.5%,21.7%,5.8%,4.2%,60.6%,67.4%,45.0%,58.6%,36.3%,47.8%,0.88
Best of 5,9,1,8,11.1%,9-24,27.3%,129-182,41.5%,2-3,40.0%,9,61.7%,20.9%,3.0%,3.5%,64.6%,62.9%,40.6%,55.0%,37.4%,46.4%,0.83
Best of 3,53,17,36,32.1%,43-73,37.1%,516-620,45.4%,9-6,60.0%,52,67.7%,21.7%,5.6%,4.3%,60.2%,66.7%,44.8%,58.0%,36.3%,47.6%,0.86
Semi-finals,2,0,2,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,1,63.6%,10.0%,0.0%,7.2%,58.0%,67.5%,37.9%,55.1%,30.0%,43.4%,0.67
Quarter-finals,3,2,1,66.7%,4-4,50.0%,39-45,46.4%,2-1,66.7%,3,78.0%,12.5%,5.3%,5.0%,66.9%,72.3%,46.2%,63.7%,32.8%,48.9%,0.90
vs Righties,52,15,37,28.8%,41-81,33.6%,512-656,43.8%,8-7,53.3%,51,65.4%,21.1%,4.8%,4.2%,60.5%,65.2%,44.1%,56.9%,36.5%,47.1%,0.85
vs Lefties,10,3,7,30.0%,11-16,40.7%,133-146,47.7%,3-2,60.0%,10,70.8%,23.4%,6.2%,3.5%,64.2%,68.6%,43.0%,59.4%,36.9%,48.5%,0.91
vs Top 10,2,0,2,0.0%,0-4,0.0%,13-24,35.1%,0-0,-,2,61.1%,10.5%,3.3%,4.1%,64.8%,60.8%,44.2%,54.9%,29.3%,43.4%,0.65
