Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,10,4,6,40.0%,3,1,2,33.3%,2019,2025,R64,10,0.91,4.0%,3.9%,66.4%,66.7%,42.5%,58.6%,37.6%,58.6%,35.5%
Roland Garros,10,Clay,12,2,10,16.7%,2,1,1,50.0%,2015,2025,R128,9,0.84,2.9%,4.1%,62.0%,59.4%,42.1%,52.8%,39.5%,52.9%,47.8%
Wimbledon,8,Grass,10,2,8,20.0%,4,1,3,25.0%,2016,2025,R128,7,0.85,6.3%,4.1%,63.0%,65.8%,42.9%,57.3%,36.1%,41.4%,33.3%
US Open,7,Hard,12,5,7,41.7%,5,3,2,60.0%,2016,2024,R128,11,0.99,5.7%,5.2%,59.0%,69.9%,45.3%,59.8%,39.8%,56.2%,41.0%
Indian Wells Masters,3,Hard,6,3,3,50.0%,1,1,0,100.0%,2023,2025,R64,6,0.94,3.7%,3.5%,54.8%,63.9%,44.4%,55.1%,42.3%,65.6%,42.6%
Rotterdam,2,Hard,6,4,2,66.7%,6,6,0,100.0%,2023,2025,R32,6,1.04,3.2%,2.9%,61.9%,70.4%,48.1%,61.9%,39.5%,64.6%,28.9%
Montpellier,6,Hard,12,6,6,50.0%,1,1,0,100.0%,2014,2025,R16,12,0.97,4.6%,4.1%,62.2%,64.0%,43.5%,56.3%,42.4%,52.0%,54.3%
Winston-Salem,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2023,2024,R64,2,0.79,11.6%,4.3%,51.2%,73.8%,37.5%,56.1%,34.8%,38.5%,33.3%
Newport,2,Grass,2,0,2,0.0%,1,0,1,0.0%,2023,2024,R32,2,0.82,3.5%,6.4%,59.4%,67.5%,42.7%,57.4%,34.9%,66.7%,53.8%
Mallorca,2,Grass,5,3,2,60.0%,2,1,1,50.0%,2023,2024,R16,5,1.09,5.2%,4.9%,62.6%,70.9%,48.0%,62.3%,40.9%,48.1%,44.4%
