Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Australian Open Q2,L vs Molcan,14.0%,17.5%,42.9%,14.9%,15.2%,18.2%,35.7%,16.7%,29.4%,56.3%,66.7%,12.5%,16.7%,52.4%,-79
2024 Australian Open Q1,W vs Giannessi,24.6%,27.7%,54.2%,29.1%,31.8%,34.1%,60.0%,38.4%,52.2%,33.3%,50.0%,10.0%,15.0%,44.4%,-13
2023 Australian Open R64,L vs Medvedev,12.3%,16.0%,40.0%,17.2%,13.2%,18.9%,45.7%,20.6%,61.5%,40.7%,28.6%,11.1%,11.1%,29.2%,-25
2023 Australian Open R128,W vs Huesler,29.2%,42.1%,59.3%,36.9%,32.5%,48.7%,67.1%,43.7%,52.2%,49.3%,100.0%,23.5%,29.4%,43.6%,5
2022 US Open R128,L vs Nava,30.8%,38.4%,49.6%,33.6%,37.8%,45.0%,47.8%,42.5%,50.0%,41.3%,55.6%,22.4%,31.3%,51.9%,64
2022 Australian Open R128,W vs Lopez,27.3%,33.9%,53.4%,30.1%,29.9%,32.5%,59.3%,34.3%,50.0%,32.4%,100.0%,22.7%,36.4%,44.1%,-79
2021 St Petersburg QF,L vs Fritz,17.3%,21.2%,48.8%,21.5%,25.9%,33.3%,55.0%,34.1%,63.6%,50.0%,50.0%,8.7%,8.7%,42.9%,-30
2021 St Petersburg R16,W vs Karatsev,32.0%,40.0%,64.7%,37.2%,44.1%,55.9%,68.4%,51.8%,40.0%,42.1%,50.0%,6.3%,6.3%,60.0%,-79
2021 Rome R32,L vs Berrettini,20.3%,32.2%,48.9%,25.6%,23.1%,35.9%,50.0%,31.0%,36.4%,52.9%,66.7%,16.7%,27.8%,46.7%,47
2021 Madrid R64,W vs Hurkacz,27.6%,29.6%,58.6%,30.4%,32.8%,35.9%,67.4%,37.2%,53.6%,55.6%,0.0%,18.2%,18.2%,44.4%,-35
2021 Rotterdam R16,L vs De Minaur,11.7%,13.3%,40.4%,13.5%,22.2%,25.9%,33.3%,26.3%,69.2%,57.1%,75.0%,3.1%,3.1%,45.2%,-85
2020 Nur Sultan F,W vs Mannarino,18.6%,24.3%,61.8%,20.7%,31.0%,38.1%,51.7%,34.5%,61.9%,57.1%,0.0%,0.0%,3.8%,73.1%,-118
2020 US Open R128,W vs Basilashvili,36.6%,43.0%,54.2%,41.1%,47.3%,58.2%,62.1%,54.9%,37.9%,42.3%,75.0%,21.1%,21.1%,46.7%,-79
2020 Australian Open R32,L vs Federer,28.6%,32.3%,52.7%,30.3%,33.1%,35.6%,51.9%,35.8%,53.1%,44.9%,28.6%,22.4%,28.4%,53.8%,6
2019 Tokyo F,L vs Djokovic,14.3%,20.4%,52.4%,19.8%,10.3%,20.7%,50.0%,19.7%,57.1%,53.3%,50.0%,20.0%,20.0%,56.3%,-79
2019 Tokyo SF,W vs Opelka,38.9%,43.1%,54.5%,42.6%,55.8%,62.8%,68.4%,62.1%,40.0%,69.6%,100.0%,13.8%,13.8%,44.0%,-79
2019 Sydney QF,L vs Simon,18.5%,26.1%,50.5%,25.8%,20.5%,32.1%,53.2%,31.7%,50.0%,57.1%,66.7%,14.6%,14.6%,45.7%,-79
2019 Sydney R16,W vs Fucsovics,19.3%,24.6%,68.2%,21.1%,17.9%,23.1%,65.6%,20.5%,55.6%,71.4%,100.0%,25.0%,31.3%,75.0%,89
2019 Brisbane R16,L vs Dimitrov,20.0%,29.1%,39.5%,22.9%,24.3%,29.7%,32.1%,28.6%,52.6%,38.9%,40.0%,11.8%,29.4%,53.3%,4
2018 US Open QF,L vs Djokovic,12.2%,16.5%,53.6%,14.3%,12.5%,18.8%,60.0%,15.6%,41.0%,43.9%,33.3%,12.9%,12.9%,37.0%,8
Career (29 matches),,24.2%,30.8%,52.8%,28.3%,29.0%,37.1%,55.6%,35.5%,49.7%,50.5%,56.1%,16.8%,21.2%,48.6%,-6
