Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Australian Open Q2,L vs Molcan,0.0%,-,5.7%,85.7%,1.6%,2.1%,0.0%,4.6%,11.8%,0.0%,-,-102,-107
2024 Australian Open Q1,W vs Giannessi,0.0%,-,13.0%,73.3%,6.1%,4.9%,7.7%,7.8%,16.7%,0.0%,-,-39,-25
2023 Australian Open R64,L vs Medvedev,0.0%,-,11.2%,70.0%,3.9%,18.2%,0.0%,2.7%,10.7%,0.0%,-,-129,-134
2023 Australian Open R128,W vs Huesler,0.0%,-,7.0%,87.5%,15.4%,11.3%,8.5%,11.3%,36.4%,0.0%,-,-43,-34
2022 US Open R128,L vs Nava,0.0%,-,4.4%,66.7%,12.0%,17.0%,0.0%,9.8%,30.4%,0.0%,-,-31,-7
2022 Australian Open R128,W vs Lopez,0.0%,-,6.7%,82.4%,10.1%,18.8%,0.0%,15.9%,23.1%,0.0%,-,-9,-26
2021 St Petersburg QF,L vs Fritz,0.0%,-,4.0%,50.0%,9.3%,6.1%,0.0%,8.1%,23.1%,1.0%,50.0%,-51,-62
2021 St Petersburg R16,W vs Karatsev,0.0%,-,4.5%,60.0%,13.3%,31.6%,0.0%,4.9%,12.5%,0.0%,-,-86,-61
2021 Rome R32,L vs Berrettini,0.0%,-,4.6%,40.0%,13.3%,7.4%,0.0%,3.2%,11.1%,0.5%,0.0%,-40,-84
2021 Madrid R64,W vs Hurkacz,0.0%,-,4.1%,62.5%,7.9%,18.8%,9.1%,4.8%,33.3%,0.0%,-,-116,-80
2021 Rotterdam R16,L vs De Minaur,0.0%,-,10.7%,36.4%,2.9%,3.3%,0.0%,4.1%,19.2%,0.0%,-,-137,-135
2020 Nur Sultan F,W vs Mannarino,0.0%,-,3.0%,50.0%,7.7%,13.2%,4.3%,4.9%,11.5%,0.0%,-,-103,-93
2020 US Open R128,W vs Basilashvili,0.0%,-,1.1%,0.0%,7.6%,0.0%,0.0%,4.1%,0.0%,0.0%,-,-59,-32
2020 Australian Open R32,L vs Federer,0.0%,-,3.6%,53.8%,9.7%,28.6%,0.0%,7.4%,26.5%,0.2%,0.0%,-96,-71
2019 Tokyo F,L vs Djokovic,0.0%,-,7.3%,14.3%,7.9%,22.2%,0.0%,5.0%,42.9%,0.0%,-,-103,-113
2019 Tokyo SF,W vs Opelka,0.0%,-,2.2%,100.0%,12.3%,27.3%,0.0%,6.3%,60.0%,0.0%,-,-57,-11
2019 Sydney QF,L vs Simon,0.0%,-,6.7%,57.1%,7.8%,15.7%,33.3%,5.2%,29.6%,0.3%,0.0%,-72,-76
2019 Sydney R16,W vs Fucsovics,0.0%,-,4.5%,80.0%,8.2%,0.0%,0.0%,8.0%,29.4%,0.0%,-,-79,-76
2019 Brisbane R16,L vs Dimitrov,1.9%,0.0%,8.5%,60.0%,10.2%,19.2%,0.0%,5.6%,38.5%,0.0%,-,-123,-115
2018 US Open QF,L vs Djokovic,0.0%,-,7.5%,66.7%,5.7%,15.6%,0.0%,3.6%,40.0%,0.0%,-,-111,-109
Career (29 matches),,0.1%,33.3%,6.4%,65.9%,9.0%,14.6%,6.1%,6.8%,29.4%,0.1%,27.3%,-77,-68
