Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Washington R64,W vs Brooksby,57% (8/14),75% (6/8),1/4,33% (5/15),20% (1/5),2/5,1/1,0/0,1/1,0/0
2025 Australian Open R64,L vs Alcaraz,0% (0/12),- (0/0),0/5,64% (7/11),14% (1/7),0/0,0/0,1/2,0/0,1/1
2024 Cincinnati R32,L vs Hurkacz,40% (6/15),33% (2/6),0/2,31% (4/13),50% (2/4),1/1,0/0,0/0,0/0,0/0
2024 Atlanta F,W vs Thompson,20% (3/15),67% (2/3),0/1,40% (6/15),83% (5/6),2/2,1/1,0/0,1/1,0/0
2024 Wimbledon R64,L vs Mpetshi Perricard,8% (1/13),0% (0/1),0/4,58% (7/12),29% (2/7),0/0,0/0,0/1,0/0,0/0
2024 Wimbledon R128,W vs Borges,28% (5/18),80% (4/5),0/3,26% (5/19),40% (2/5),3/4,2/2,2/2,1/1,0/0
2023 Paris R32,L vs Rublev,10% (1/10),0% (0/1),0/1,33% (3/9),33% (1/3),0/0,0/0,1/2,0/0,1/1
2023 Shanghai R64,L vs Ruud,11% (1/9),100% (1/1),0/3,67% (6/9),17% (1/6),1/1,0/0,1/3,0/0,0/1
2023 Zhuhai F,L vs Khachanov,20% (2/10),50% (1/2),0/3,44% (4/9),25% (1/4),1/1,0/0,0/0,0/0,0/0
2023 US Open R128,L vs Wawrinka,7% (1/15),100% (1/1),1/4,33% (5/15),20% (1/5),0/1,0/0,3/3,0/0,1/1
2023 Wimbledon R128,L vs Galan,36% (5/14),40% (2/5),0/4,43% (6/14),0% (0/6),1/2,0/0,0/2,0/0,0/1
2023 Roland Garros R16,L vs Etcheverry,15% (2/13),50% (1/2),0/5,50% (6/12),0% (0/6),1/1,0/0,1/2,0/0,1/1
2023 Roland Garros R32,W vs Seyboth Wild,35% (8/23),75% (6/8),2/4,36% (8/22),38% (3/8),5/5,2/2,0/1,1/1,0/0
2023 Indian Wells R64,L vs Garin,0% (0/8),- (0/0),0/2,50% (4/8),0% (0/4),0/0,0/0,0/2,0/0,0/1
2023 Adelaide 1 R32,W vs Rune,57% (8/14),50% (4/8),1/3,36% (5/14),20% (1/5),2/4,2/2,0/1,1/1,0/0
2022 Paris R32,L vs Alcaraz,10% (1/10),100% (1/1),0/3,50% (5/10),40% (2/5),0/1,0/0,0/0,0/0,0/0
2022 Paris R64,W vs Karatsev,44% (4/9),50% (2/4),0/0,40% (4/10),100% (4/4),2/2,2/2,0/0,1/1,0/0
2022 Seoul F,W vs Shapovalov,36% (4/11),50% (2/4),0/1,27% (3/11),67% (2/3),1/1,0/0,0/0,0/0,0/0
2022 Seoul QF,W vs Ruud,46% (6/13),67% (4/6),0/1,25% (3/12),67% (2/3),3/3,1/1,1/1,0/0,0/0
2022 US Open R128,L vs Davidovich Fokina,27% (4/15),100% (4/4),2/7,67% (10/15),20% (2/10),2/4,0/0,0/1,0/0,0/1
2025 (2 matches),,30.8%,75.0%,11.1%,46.2%,16.7%,40.0%,100.0%,50.0%,100.0%,100.0%
2024 (4 matches),,24.6%,53.3%,0.0%,37.3%,50.0%,85.7%,100.0%,66.7%,100.0%,-
2023 (9 matches),,24.1%,57.1%,13.8%,42.0%,17.0%,73.3%,100.0%,37.5%,100.0%,50.0%
2022 (12 matches),,29.2%,75.0%,24.1%,42.8%,40.7%,70.4%,100.0%,53.8%,100.0%,40.0%
2021 (9 matches),,21.4%,42.9%,2.6%,41.5%,16.7%,63.6%,60.0%,75.0%,-,50.0%
Career (287 matches),,38.2%,72.6%,22.5%,38.4%,30.1%,75.7%,82.0%,65.9%,79.8%,61.5%
