Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,1-2,33.3%,8-17,32.0%,0-0,-,0,,,,,,,,,,,,
2025,26,9,17,34.6%,23-36,39.0%,265-310,46.1%,5-5,50.0%,22,74.9%,15.4%,3.5%,2.9%,60.5%,68.1%,49.8%,60.9%,32.8%,47.2%,0.84,QF (Dallas)
2024,41,21,20,51.2%,53-46,53.5%,475-474,50.1%,10-5,66.7%,37,79.3%,19.9%,3.0%,1.8%,63.6%,68.0%,55.0%,63.2%,35.0%,49.2%,0.95,W (Atlanta)
2023,41,20,21,48.8%,52-58,47.3%,510-561,47.6%,8-10,44.4%,41,74.3%,21.3%,2.5%,2.3%,64.0%,65.2%,54.9%,61.5%,36.2%,48.8%,0.94,F (Zhuhai)
2022,36,19,17,52.8%,44-47,48.4%,433-448,49.1%,9-7,56.3%,36,76.0%,22.3%,2.8%,1.3%,67.3%,64.1%,55.4%,61.3%,36.6%,49.2%,0.94,W (Seoul)
2021,33,10,23,30.3%,27-55,32.9%,322-441,42.2%,8-4,66.7%,32,67.6%,15.8%,2.1%,2.5%,66.5%,63.3%,48.9%,58.5%,34.7%,46.5%,0.83,QF (3x)
2020,26,14,12,53.8%,37-34,52.1%,336-331,50.4%,5-5,50.0%,26,76.7%,24.9%,2.7%,1.7%,67.3%,64.6%,55.5%,61.6%,38.8%,50.0%,1.01,F (Delray Beach)
2019,39,19,20,48.7%,51-50,50.5%,480-497,49.1%,8-6,57.1%,38,71.7%,26.4%,2.5%,1.6%,66.5%,62.8%,54.1%,59.8%,39.3%,49.7%,0.98,QF (3x)
2018,22,10,12,45.5%,26-32,44.8%,256-293,46.6%,6-1,85.7%,22,68.8%,23.4%,1.4%,2.4%,67.2%,62.0%,51.0%,58.4%,38.3%,48.4%,0.92,W (Shenzhen)
2017,18,9,9,50.0%,21-22,48.8%,194-202,49.0%,1-2,33.3%,18,72.4%,27.2%,1.6%,2.5%,63.2%,64.4%,52.0%,59.8%,38.9%,49.6%,0.97,QF (Acapulco)
2016,22,10,12,45.5%,25-29,46.3%,248-260,48.8%,1-2,33.3%,22,75.7%,22.9%,3.2%,3.0%,60.9%,67.8%,54.5%,62.6%,36.9%,49.7%,0.99,SF (Atlanta)
2015,8,3,5,37.5%,8-14,36.4%,90-108,45.5%,0-2,0.0%,8,67.3%,24.5%,2.3%,2.9%,58.9%,59.8%,53.7%,57.3%,37.6%,47.4%,0.88,QF (Delray Beach)
2014,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,44.4%,0.0%,1.5%,7.6%,54.5%,58.3%,33.3%,47.0%,20.0%,36.0%,0.38,R128 (US Open)
Career,314,144,170,45.9%,368-427,46.3%,3620-3954,47.8%,61-49,55.5%,303,73.7%,21.9%,2.6%,2.1%,64.8%,64.7%,53.4%,60.7%,36.7%,48.8%,0.94,
