Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,13,3,10,23.1%,9-22,29.0%,126-166,43.2%,1-4,20.0%,11,69.2%,19.7%,3.5%,3.5%,60.2%,65.6%,44.8%,57.3%,35.1%,46.5%,0.82
Clay,2,0,2,0.0%,0-4,0.0%,15-26,36.6%,0-0,-,2,72.7%,4.5%,1.4%,3.6%,55.8%,70.1%,49.2%,60.9%,26.0%,44.4%,0.66
Grass,2,0,2,0.0%,1-4,20.0%,22-31,41.5%,1-1,50.0%,2,80.0%,3.8%,1.8%,2.4%,61.6%,71.3%,52.4%,64.0%,25.9%,46.0%,0.72
Grand Slams,3,0,3,0.0%,0-8,0.0%,30-50,37.5%,0-1,0.0%,3,75.0%,4.8%,2.6%,1.1%,60.1%,65.6%,48.1%,58.7%,25.6%,43.2%,0.62
Masters,7,2,5,28.6%,5-10,33.3%,60-75,44.4%,0-1,0.0%,7,69.6%,18.8%,3.0%,4.2%,60.8%,68.8%,43.0%,58.6%,34.0%,47.0%,0.82
Other Tours,5,1,4,20.0%,3-8,27.3%,50-63,44.2%,1-3,25.0%,5,70.9%,18.5%,3.4%,4.0%,58.4%,65.5%,49.7%,58.9%,35.8%,47.1%,0.87
Best of 5,2,0,2,0.0%,0-6,0.0%,21-37,36.2%,0-1,0.0%,2,70.4%,6.7%,3.2%,0.5%,61.2%,62.6%,46.6%,56.4%,28.0%,42.7%,0.64
Best of 3,15,3,12,20.0%,10-24,29.4%,142-186,43.3%,2-4,33.3%,13,71.5%,17.0%,3.0%,4.0%,59.6%,67.9%,46.5%,59.2%,33.6%,46.9%,0.83
vs Righties,13,3,10,23.1%,8-24,25.0%,134-175,43.4%,1-4,20.0%,12,72.3%,15.9%,3.1%,2.9%,59.6%,66.9%,47.4%,59.0%,32.6%,46.1%,0.80
vs Lefties,4,0,4,0.0%,2-6,25.0%,29-48,37.7%,1-1,50.0%,3,66.7%,11.1%,2.4%,5.4%,61.0%,67.2%,42.5%,57.6%,33.1%,46.5%,0.78
