Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),1032,15,,,,,,,,,,,,
2025,1030,15,,,,,,,,,,,,
2024,737,34,,,,,,,,,,,,
2023,252,239,143,1622,141,1565,128,1592,75,1608,,,,
2022,76,691,79,1738,88,1659,74,1679,42,1686,,,,
2021,101,747,54,1793,48,1748,82,1677,53,1654,,,,
2020,140,467,98,1687,105,1594,79,1658,,,753,44,,
2019,163,315,228,1517,227,1469,169,1516,174,1459,504,77,,
2018,167,317,213,1519,218,1462,188,1492,139,1505,282,166,,
2017,131,435,214,1523,279,1385,161,1530,185,1437,229,277,,
2016,518,70,,,,,,,,,234,312,,
2015,480,82,,,,,,,,,1141,23,,
2014,1166,7,,,,,,,,,1055,25,,
2013,638,40,,,,,,,,,511,106,,
2012,1163,5,,,,,,,,,1534,6,,
2011,1853,1,,,,,,,,,,,,
