Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 Stuttgart R32,L vs Barrere,50.9%,41.4%,3.5%,1/1,2.08,8.1%,45.5%,40.0%,6.1%,2.22,17.6%,70.0%,42.9%,0.0%,1.98,0.0%
2022 US Open R128,L vs Hurkacz,50.0%,37.8%,4.1%,2/1,2.23,11.3%,44.4%,35.0%,4.4%,1.83,28.0%,63.0%,41.2%,3.7%,2.49,0.0%
2022 Stuttgart SF,L vs Berrettini,40.5%,46.7%,2.7%,1/1,2.23,44.4%,34.7%,47.1%,4.1%,2.17,62.1%,52.0%,46.2%,0.0%,2.34,12.5%
2022 Munich SF,L vs Rune,78.9%,33.3%,1.8%,1/0,2.20,11.1%,77.1%,29.6%,0.0%,2.06,15.8%,85.7%,38.9%,4.8%,2.53,0.0%
2022 Indian Wells R64,L vs Hurkacz,57.7%,44.4%,7.7%,4/2,2.19,11.4%,58.5%,38.7%,1.9%,1.90,31.3%,62.5%,53.3%,20.8%,2.34,0.0%
2021 Ismaning CH F,W vs Lacko,65.8%,52.1%,1.4%,1/0,2.25,15.0%,59.1%,42.3%,2.3%,2.00,33.3%,88.0%,63.6%,0.0%,2.45,0.0%
2021 Prague CH F,L vs Griekspoor,76.8%,43.8%,6.3%,3/3,2.52,9.1%,73.5%,36.1%,8.2%,2.55,15.8%,90.2%,51.4%,4.9%,2.46,0.0%
2017 Lisbon CH SF,W vs Balazs,66.7%,52.5%,0.0%,0/0,2.24,6.3%,69.7%,47.8%,0.0%,1.92,5.6%,85.0%,58.8%,0.0%,2.68,7.1%
2017 Qingdao CH F,L vs Tipsarevic,73.4%,42.6%,1.6%,0/1,2.31,3.9%,72.2%,38.5%,0.0%,2.29,5.6%,80.8%,47.6%,3.8%,2.38,0.0%
Career (9 matches),,62.3%,43.9%,3.5%,59.1%,2.27,13.1%,58.6%,38.9%,3.2%,2.16,22.6%,76.0%,50.0%,4.4%,2.40,1.6%
