Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1979,,,55,1665,42,1581,42,1627,,,,,,
1978,,,31,1773,31,1650,24,1694,19,1719,,,,
1977,,,41,1725,36,1610,32,1686,25,1703,,,,
1976,,,18,1826,19,1685,21,1752,13,1776,,,,
1975,,,21,1841,16,1715,33,1718,13,1791,,,,
1974,,,14,1897,13,1748,24,1746,10,1831,,,,
1973,,,18,1861,14,1723,30,1726,15,1797,,,,
1972,,,18,1865,10,1773,26,1747,16,1778,,,,
1971,,,25,1816,15,1726,28,1736,22,1736,,,,
1970,,,16,1903,12,1758,21,1824,16,1791,,,,
1969,,,38,1717,26,1607,37,1630,33,1633,,,,
1968,,,54,1606,,,52,1547,45,1557,,,,
