Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Australian Open R64,L vs Sinner,30.4%,41.8%,36.0%,35.6%,42.9%,57.1%,46.4%,51.2%,55.2%,45.0%,60.0%,12.0%,20.0%,22.7%,-4
2025 Almaty SF,L vs Medvedev,31.0%,43.0%,43.5%,38.4%,47.4%,64.9%,53.3%,60.4%,39.1%,52.9%,33.3%,9.3%,14.0%,35.9%,-79
2025 Canada R64,L vs Musetti,27.9%,44.3%,45.0%,33.9%,40.0%,56.7%,38.9%,52.3%,28.6%,43.8%,60.0%,18.5%,37.0%,50.0%,59
2024 Basel R32,L vs Mpetshi Perricard,33.8%,42.6%,50.0%,40.1%,40.0%,52.5%,62.5%,50.8%,37.5%,45.8%,100.0%,28.0%,32.0%,33.3%,83
2024 Halle R16,L vs Hurkacz,30.3%,47.4%,52.9%,36.4%,51.4%,70.3%,66.7%,64.1%,56.3%,57.1%,66.7%,10.8%,27.0%,45.5%,-5
2023 Playford CH F,W vs Wong,26.7%,36.0%,54.5%,34.7%,33.3%,44.4%,63.9%,44.4%,57.7%,60.7%,100.0%,9.5%,14.3%,36.8%,-79
2022 Winston Salem R32,L vs Cressy,33.3%,40.0%,38.5%,36.0%,46.2%,53.8%,42.9%,52.3%,52.9%,44.4%,0.0%,24.2%,30.3%,36.0%,-35
2021 Paris QF,L vs Hurkacz,22.0%,33.9%,54.8%,29.2%,29.5%,49.2%,53.5%,42.3%,62.1%,34.4%,25.0%,12.8%,14.9%,56.1%,-48
2021 Nur Sultan F,L vs Kwon,31.8%,39.4%,51.2%,35.9%,52.9%,61.8%,62.5%,60.9%,62.5%,27.8%,-,10.0%,16.7%,44.4%,-15
2020 Pune SF,L vs Gerasimov,39.0%,45.5%,41.3%,43.9%,45.5%,52.7%,40.0%,52.4%,73.1%,65.5%,50.0%,23.8%,28.6%,43.8%,-10
2019 Playford CH F,W vs Uchiyama,38.1%,47.6%,73.7%,45.2%,44.4%,52.8%,75.0%,56.9%,63.2%,35.3%,0.0%,30.8%,42.3%,72.2%,-23
2018 Wimbledon R128,L vs Zverev,26.4%,31.0%,35.0%,30.9%,40.0%,47.5%,45.8%,49.8%,37.5%,41.7%,100.0%,16.3%,18.6%,27.8%,46
2015 Ho Chi Minh City CH R16,W vs Singh,42.1%,60.5%,76.2%,53.4%,50.0%,70.8%,83.3%,67.9%,54.5%,30.8%,-,30.8%,46.2%,66.7%,29
2014 Charlottesville CH F,W vs Broady,35.1%,49.4%,51.0%,40.6%,46.9%,57.1%,42.3%,55.7%,43.5%,61.5%,100.0%,14.8%,37.0%,60.9%,-25
2014 Australian Open R128,L vs Federer,30.4%,44.6%,44.3%,37.4%,44.9%,61.2%,55.6%,58.0%,33.3%,74.2%,62.5%,15.0%,27.5%,35.3%,27
Career (15 matches),,31.1%,42.2%,48.5%,37.3%,42.9%,56.2%,54.4%,53.7%,51.8%,50.3%,58.7%,16.6%,25.3%,42.9%,8
