Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,18,7,11,38.9%,18-27,40.0%,205-242,45.9%,5-4,55.6%,18,78.2%,12.8%,10.2%,4.2%,55.3%,72.9%,51.4%,63.3%,33.5%,48.5%,0.91
Clay,3,0,3,0.0%,1-7,12.5%,28-46,37.8%,0-0,-,2,63.6%,0.0%,3.3%,5.3%,67.3%,61.4%,40.8%,54.7%,28.3%,41.7%,0.62
Grass,4,1,3,25.0%,6-8,42.9%,71-73,49.3%,2-2,50.0%,4,85.9%,11.6%,9.0%,3.3%,60.4%,71.0%,55.8%,65.0%,33.9%,49.6%,0.97
Grand Slams,5,1,4,20.0%,5-14,26.3%,76-108,41.3%,2-0,100.0%,5,71.4%,9.9%,6.4%,4.7%,60.9%,67.3%,45.6%,58.8%,31.7%,45.7%,0.77
Masters,4,1,3,25.0%,2-6,25.0%,37-48,43.5%,1-2,33.3%,4,75.6%,12.2%,13.9%,3.7%,52.1%,74.1%,51.6%,63.3%,34.3%,48.4%,0.93
Other Tours,15,6,9,40.0%,17-20,45.9%,177-189,48.4%,4-4,50.0%,15,83.4%,12.4%,10.0%,3.8%,56.6%,73.2%,54.6%,65.2%,33.6%,49.5%,0.97
Best of 5,5,1,4,20.0%,5-14,26.3%,76-108,41.3%,2-0,100.0%,5,71.4%,9.9%,6.4%,4.7%,60.9%,67.3%,45.6%,58.8%,31.7%,45.7%,0.77
Best of 3,20,7,13,35.0%,20-28,41.7%,228-253,47.4%,5-6,45.5%,19,82.0%,12.4%,10.7%,3.8%,55.8%,73.4%,54.0%,64.8%,33.8%,49.3%,0.96
Semi-finals,1,0,1,0.0%,1-2,33.3%,12-18,40.0%,1-0,100.0%,1,78.6%,0.0%,12.0%,0.0%,57.0%,75.4%,41.9%,61.0%,26.6%,44.3%,0.68
Quarter-finals,2,1,1,50.0%,3-2,60.0%,25-20,55.6%,0-0,-,2,82.6%,27.3%,5.0%,4.3%,47.1%,74.2%,60.8%,67.1%,42.2%,53.6%,1.28
vs Righties,21,6,15,28.6%,20-38,34.5%,259-316,45.0%,6-5,54.5%,20,78.7%,10.5%,9.0%,4.0%,57.9%,71.5%,50.9%,62.9%,32.7%,47.8%,0.88
vs Lefties,2,2,0,100.0%,4-0,100.0%,25-16,61.0%,1-0,100.0%,2,85.7%,31.6%,11.3%,4.5%,50.4%,77.6%,59.1%,68.4%,43.0%,56.3%,1.36
vs Top 10,2,0,2,0.0%,0-5,0.0%,13-31,29.5%,0-0,-,2,61.9%,0.0%,10.7%,5.7%,57.1%,67.5%,40.0%,55.7%,25.0%,40.8%,0.56
