Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Australian Open R64,L vs Sinner,0.86,0.47,24.6,2.0,15.0%,60.0%,7.7%,48.7%,19.0%,31.4%
2025 Almaty SF,L vs Medvedev,1.09,0.74,62.2,4.1,11.5%,61.5%,12.5%,60.4%,18.4%,35.6%
2025 Canada R64,L vs Musetti,0.97,0.58,50.5,2.7,12.5%,56.3%,6.9%,58.6%,20.0%,32.0%
2024 Basel R32,L vs Mpetshi Perricard,0.90,0.63,47.6,2.8,2.7%,70.3%,3.2%,58.1%,22.2%,27.6%
2024 US Open R128,L vs Cobolli,0.97,0.76,39.1,3.2,5.0%,51.7%,3.5%,63.2%,38.7%,27.6%
2024 Wimbledon R128,L vs De Minaur,1.00,0.80,40.7,2.2,8.0%,57.5%,2.3%,55.8%,36.9%,32.2%
2024 Halle R16,L vs Hurkacz,0.97,0.43,48.9,2.1,10.0%,70.0%,2.8%,61.1%,15.6%,14.8%
2023 Playford CH F,W vs Wong,1.15,1.34,55.8,2.0,5.1%,64.1%,11.1%,69.4%,25.6%,52.8%
2023 US Open R128,L vs Meligeni Alves,0.93,0.79,45.8,2.2,9.8%,62.7%,4.0%,60.0%,29.5%,36.4%
2022 US Open R64,L vs Evans,1.11,0.68,34.3,2.1,10.5%,53.9%,5.6%,59.2%,26.5%,26.7%
2022 US Open R128,W vs Oconnell,1.14,1.44,35.7,3.9,13.1%,75.4%,3.8%,65.4%,39.3%,34.0%
2022 Winston-Salem R32,L vs Cressy,0.86,0.41,39.2,2.2,6.3%,62.5%,3.6%,53.6%,29.2%,9.5%
2022 Wimbledon R128,L vs Murray,1.00,0.69,37.0,3.2,13.1%,65.6%,3.5%,52.6%,25.0%,31.3%
2021 Paris QF,L vs Hurkacz,1.08,0.70,67.4,2.3,5.4%,64.3%,5.7%,64.2%,20.0%,26.8%
2021 Nur-Sultan F,L vs Kwon,0.81,0.70,58.7,3.5,14.3%,62.9%,16.1%,67.7%,34.3%,25.8%
2021 US Open R128,L vs Martinez,0.89,0.84,44.7,54.5,12.5%,62.5%,9.9%,63.4%,32.1%,38.0%
2021 Wimbledon R32,L vs Sonego,0.74,0.52,25.8,2.0,2.5%,65.0%,0.0%,68.6%,20.5%,26.8%
2021 Wimbledon R64,W vs Querrey,0.98,1.43,39.4,2.2,14.5%,72.6%,8.8%,78.9%,38.5%,32.1%
2021 Wimbledon R128,W vs Albot,0.98,1.35,35.8,2.8,5.9%,70.6%,8.2%,55.1%,48.1%,54.2%
2021 Roland Garros R64,L vs Berankis,0.96,0.74,45.1,3.1,11.9%,56.7%,16.1%,66.1%,29.3%,30.2%
2026 (1 matches),,0.86,0.47,24.6,2.0,15.0%,60.0%,7.7%,48.7%,19.0%,31.4%
2025 (2 matches),,1.05,0.68,57.8,3.2,11.9%,59.5%,10.4%,59.7%,19.0%,34.3%
2024 (4 matches),,0.98,0.71,42.8,2.5,6.7%,60.3%,2.9%,59.0%,31.3%,27.2%
2023 (2 matches),,1.02,0.99,49.9,2.1,7.8%,63.3%,7.0%,64.0%,28.0%,42.9%
2022 (4 matches),,1.05,0.80,36.1,2.7,11.3%,63.9%,4.3%,58.2%,30.5%,28.1%
Career (257 matches),,1.01,1.02,52.1,2.7,9.5%,64.7%,8.0%,65.1%,35.0%,35.9%
