Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Dubai R32,W vs Tsitsipas,48.4%,59.4%,53.1%,52.5%,54.2%,62.5%,50.0%,59.6%,41.7%,66.7%,0.0%,33.3%,53.3%,60.0%,16
2026 Rotterdam SF,L vs De Minaur,21.2%,28.8%,61.5%,24.2%,26.7%,33.3%,59.1%,32.0%,25.0%,50.0%,50.0%,15.0%,25.0%,64.7%,32
2026 Rotterdam R32,W vs Medvedev,26.5%,35.7%,58.6%,30.7%,33.3%,44.4%,52.4%,39.8%,34.6%,45.9%,75.0%,15.2%,21.2%,67.9%,7
2026 Adelaide F,L vs Machac,28.9%,43.3%,48.5%,36.5%,40.7%,57.6%,57.1%,53.2%,41.7%,77.1%,50.0%,11.4%,22.9%,38.7%,-2
2026 Adelaide QF,W vs Shevchenko,36.4%,54.5%,70.4%,45.9%,43.8%,62.5%,77.8%,56.9%,46.7%,88.2%,66.7%,18.2%,36.4%,55.6%,47
2025 Stockholm F,L vs Ruud,26.5%,38.8%,40.0%,33.9%,23.5%,41.2%,46.2%,34.1%,42.9%,55.0%,75.0%,35.7%,35.7%,22.2%,22
2025 Miami R64,L vs Fonseca,26.4%,43.4%,48.6%,33.2%,42.4%,60.6%,63.2%,53.3%,35.7%,63.2%,100.0%,0.0%,16.7%,33.3%,-118
2025 Dubai R32,W vs Lehecka,37.5%,47.9%,56.7%,45.2%,44.8%,62.1%,68.8%,57.6%,50.0%,53.8%,100.0%,26.3%,26.3%,42.9%,-79
2025 Marseille F,W vs Medjedovic,56.1%,62.1%,41.4%,57.0%,72.7%,72.7%,33.3%,74.5%,50.0%,53.3%,-,39.4%,51.5%,45.0%,-79
2025 Marseille SF,W vs Bergs,51.7%,60.0%,51.9%,53.3%,65.7%,71.4%,50.0%,68.6%,50.0%,47.1%,0.0%,34.8%,47.8%,53.3%,42
2025 Marseille QF,W vs Sonego,30.2%,41.3%,64.3%,36.0%,50.0%,64.7%,70.6%,60.9%,40.0%,63.2%,0.0%,7.4%,14.8%,60.0%,-42
2025 Marseille R16,W vs Bublik,38.8%,44.8%,55.0%,42.8%,52.5%,60.0%,52.6%,59.3%,40.0%,44.0%,100.0%,19.2%,23.1%,57.1%,-23
2025 Davis Cup Qualifiers RR,W vs Fonseca,37.3%,49.2%,62.9%,39.8%,41.4%,51.7%,52.9%,46.6%,33.3%,52.9%,-,35.7%,50.0%,72.2%,22
2025 Australian Open R16,L vs Zverev,32.7%,36.5%,36.4%,36.4%,45.9%,50.0%,45.0%,51.2%,63.9%,71.1%,71.4%,0.0%,3.8%,23.1%,-118
2025 Australian Open R64,W vs Habib,52.0%,64.0%,62.9%,58.4%,64.0%,76.0%,61.1%,73.6%,50.0%,50.0%,-,29.2%,41.7%,64.7%,-19
2024 Paris F,L vs Zverev,21.2%,32.7%,40.5%,26.2%,38.5%,53.8%,37.5%,48.5%,25.0%,61.1%,33.3%,4.5%,13.6%,42.9%,-76
2024 Paris SF,W vs Khachanov,29.6%,38.8%,52.3%,34.9%,34.8%,47.0%,53.5%,42.7%,30.8%,57.5%,100.0%,21.4%,25.0%,50.0%,88
2024 Paris R16,W vs Alcaraz,37.5%,43.8%,49.1%,42.1%,48.1%,55.6%,46.4%,56.3%,36.0%,62.1%,50.0%,25.6%,30.8%,51.7%,29
2024 Paris R32,W vs Giron,33.3%,50.0%,56.3%,40.6%,41.9%,64.5%,61.1%,53.2%,28.6%,58.8%,100.0%,17.6%,23.5%,50.0%,-79
2024 Basel R32,W vs Kym,43.0%,58.1%,65.4%,50.3%,47.1%,61.8%,66.7%,57.1%,28.6%,47.5%,100.0%,33.3%,50.0%,62.5%,-19
Career (74 matches),,30.8%,42.1%,54.0%,37.6%,39.2%,52.6%,57.2%,49.8%,39.8%,55.1%,49.5%,17.3%,25.2%,49.6%,21
