Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2016 Australian Open R128,L vs Sevastova,91.0,96.5,7.0,,,107,83,82.3,6.0,,,93,68
2015 Roland Garros R128,L vs Hesse,95.2,99.9,6.8,,,113,87,88.7,4.8,,,100,74
2015 Australian Open R64,L vs Halep,94.1,102.6,4.9,,,112,93,83.6,5.0,,,91,67
2015 Australian Open R128,W vs Dulgheru,91.7,98.4,7.3,,,110,79,80.3,5.5,,,90,72
2014 US Open R128,L vs Keys,94.1,100.0,6.6,,,113,89,85.5,7.4,,,99,63
2014 Australian Open R128,L vs Kerber,95.1,,,,,116,,,,,,,75
2013 Australian Open R128,L vs Wickmayer,96.5,,,,,117,,,,,,,74
2012 Roland Garros R64,L vs Wozniacki,95.3,,,,,112,,,,,,,74
2012 Australian Open R128,L vs Kirilenko,93.5,,,,,116,,,,,,,72
2011 US Open R64,L vs King,99.1,104.7,8.0,,,117,86,92.2,6.4,,,104,82
2011 US Open R128,W vs Benesova,100.0,105.0,6.7,,,115,85,92.6,3.4,,,97,85
2011 Wimbledon R32,L vs Wozniacki,94.3,102.6,6.7,,,113,91,84.4,4.7,,,95,76
2011 Roland Garros R32,L vs Petkovic,93.3,100.4,7.5,,,115,78,84.9,5.3,,,98,72
2011 Roland Garros R64,W vs Medina Garrigues,93.1,102.1,7.8,,,112,72,80.0,5.3,,,91,70
2011 Roland Garros R128,W vs Razzano,97.9,104.4,8.0,,,115,87,86.6,5.1,,,95,75
2011 Australian Open R128,L vs Wickmayer,99.0,106.9,6.1,,,117,88,86.9,5.4,,,97,72
Career (16 matches),,95.4,102.3,7.0,,,117,72,85.9,5.2,,,104,63
