Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,18,5,13,27.8%,2,2,0,100.0%,2004,2016,R64,4,0.91,1.8%,6.7%,55.4%,68.5%,39.0%,55.4%,40.6%,39.1%,30.8%
Roland Garros,11,Clay,25,14,11,56.0%,7,4,3,57.1%,2004,2015,R16,3,1.03,4.5%,8.5%,52.3%,62.5%,43.2%,53.3%,48.3%,41.7%,45.2%
Wimbledon,10,Grass,22,12,10,54.5%,5,4,1,80.0%,2004,2015,R16,2,0.97,7.3%,4.0%,62.7%,63.8%,50.0%,58.7%,40.3%,63.2%,63.6%
US Open,12,Hard,18,6,12,33.3%,4,2,2,50.0%,2003,2015,R32,1,0.27,0.0%,11.9%,52.4%,68.2%,20.0%,45.2%,15.0%,0.0%,0
Fed Cup,4,,13,6,7,46.2%,3,1,2,33.3%,2011,2015,,0,,,,,,,,,,
Indian Wells,8,Hard,11,3,8,27.3%,2,1,1,50.0%,2004,2016,R32,2,0.65,2.0%,9.8%,58.8%,61.1%,41.3%,52.9%,30.5%,50.0%,37.5%
Eastbourne,6,Grass,19,13,6,68.4%,4,1,3,25.0%,2006,2015,R32,2,0.97,5.1%,1.5%,60.6%,57.8%,59.3%,58.4%,40.4%,50.0%,58.3%
Brisbane,6,Hard,14,8,6,57.1%,1,0,1,0.0%,2009,2015,QF,5,1.11,6.9%,5.2%,58.2%,70.3%,46.9%,60.5%,43.8%,57.1%,37.2%
Tokyo,4,Hard,14,9,5,64.3%,5,3,2,60.0%,2010,2015,R16,5,1.13,7.7%,6.6%,61.9%,70.7%,38.9%,58.6%,46.7%,53.7%,46.6%
Hobart,5,Hard,13,9,4,69.2%,3,2,1,66.7%,2007,2016,W,1,0.91,9.2%,6.1%,59.5%,76.9%,41.5%,62.6%,34.1%,71.4%,25.0%
Sydney,5,Hard,10,5,5,50.0%,2,1,1,50.0%,2008,2015,QF,4,0.99,7.3%,3.9%,64.4%,68.1%,47.5%,60.7%,38.8%,56.7%,50.0%
