Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 Wimbledon R128,L vs Pattinama Kerkhove,32.7%,34.5%,37.5%,53.8%,57.7%,25.0%,46.2%,53.8%,33.3%,16.7%,16.7%,45.0%,33.3%,25.0%,0.0%,40
2021 Australian Open R128,W vs Strycova,23.2%,33.9%,63.2%,18.9%,32.4%,73.3%,50.0%,15.8%,25.0%,42.9%,50.0%,25.0%,42.9%,14.3%,-,213
2020 Doha SF,L vs Sabalenka,12.3%,21.1%,44.0%,15.9%,27.3%,40.5%,59.1%,63.6%,100.0%,0.0%,0.0%,53.8%,0.0%,66.7%,-,-119
2020 Doha QF,W vs Bencic,33.3%,42.9%,56.4%,38.9%,55.6%,59.1%,56.3%,35.0%,50.0%,29.2%,29.2%,52.9%,25.0%,50.0%,50.0%,30
2020 Australian Open R128,W vs Vondrousova,12.7%,19.0%,50.0%,15.7%,25.5%,60.5%,44.4%,62.5%,33.3%,8.7%,8.7%,28.6%,50.0%,46.7%,33.3%,-27
2019 Wuhan R16,L vs Svitolina,16.9%,21.5%,42.9%,24.3%,32.4%,50.0%,56.3%,57.1%,20.0%,8.7%,8.7%,33.3%,8.3%,27.3%,50.0%,-36
2019 Cincinnati F,L vs Keys,24.1%,32.9%,50.8%,29.8%,40.4%,55.0%,40.0%,75.0%,66.7%,9.5%,14.3%,42.1%,0.0%,69.2%,100.0%,-49
2019 Cincinnati SF,W vs Barty,22.7%,29.5%,69.7%,28.1%,34.4%,69.6%,57.1%,77.8%,100.0%,9.1%,18.2%,70.0%,50.0%,80.0%,-,-23
2019 Toronto R16,L vs Halep,9.6%,17.3%,43.5%,2.7%,13.5%,47.2%,62.5%,42.9%,60.0%,28.6%,28.6%,30.0%,30.0%,75.0%,0.0%,-23
2019 Madrid R64,W vs Sabalenka,17.3%,27.2%,53.7%,21.4%,33.9%,56.8%,38.5%,70.0%,85.7%,8.0%,12.0%,47.8%,50.0%,80.0%,100.0%,-104
2018 US Open R128,L vs Williams,26.0%,30.1%,34.5%,34.6%,39.7%,39.2%,69.8%,31.4%,25.0%,13.2%,15.8%,27.3%,57.1%,25.0%,42.9%,9
2018 Washington F,W vs Vekic,25.9%,33.3%,52.1%,37.9%,50.0%,53.7%,51.9%,48.7%,66.7%,8.6%,8.6%,50.0%,42.9%,57.1%,100.0%,-36
2018 Indian Wells R64,L vs Sabalenka,30.8%,34.6%,36.4%,31.0%,35.7%,34.5%,23.8%,61.9%,75.0%,42.9%,42.9%,50.0%,0.0%,100.0%,-,226
2017 Toronto R32,L vs Bellis,22.5%,31.0%,49.0%,33.3%,46.2%,46.2%,36.8%,55.0%,100.0%,10.7%,14.3%,52.0%,0.0%,60.0%,50.0%,-11
2017 Wimbledon QF,L vs Muguruza,20.0%,24.4%,60.0%,25.8%,29.0%,52.2%,31.3%,53.3%,100.0%,7.7%,15.4%,75.0%,0.0%,22.2%,0.0%,-36
2017 Roland Garros R16,L vs Wozniacki,21.1%,23.7%,37.9%,18.9%,22.6%,34.9%,52.2%,56.7%,50.0%,28.6%,28.6%,46.7%,25.0%,55.6%,-,1
2017 Roland Garros R64,W vs Dodin,23.4%,28.8%,36.3%,30.3%,34.8%,37.0%,46.9%,58.8%,0.0%,15.0%,22.5%,35.3%,41.2%,60.9%,14.3%,-74
2017 Stuttgart R16,L vs Siegemund,19.8%,31.3%,37.5%,23.9%,38.8%,45.1%,53.1%,80.0%,81.8%,12.5%,16.7%,19.0%,27.3%,76.9%,-,0
2017 Miami R64,W vs Minella,19.3%,26.3%,57.1%,15.8%,21.1%,56.3%,38.9%,85.0%,80.0%,33.3%,46.7%,60.0%,37.5%,57.1%,0.0%,150
2017 Indian Wells F,L vs Vesnina,20.8%,28.0%,39.6%,26.8%,37.8%,41.7%,48.5%,49.0%,54.5%,11.4%,11.4%,35.5%,52.9%,50.0%,75.0%,-12
Career (73 matches),,21.5%,29.4%,45.8%,25.1%,35.2%,48.4%,45.6%,54.1%,51.4%,17.2%,21.4%,40.9%,29.3%,52.5%,51.0%,25
