Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R128,W vs Volynets,83.3%,52.0%,0.0%,0/0,2.49,2.3%,85.7%,42.9%,0.0%,2.52,4.3%,88.9%,100.0%,0.0%,2.46,0.0%
2026 Doha R32,L vs Muchova,62.5%,40.0%,17.5%,7/0,2.45,12.2%,52.2%,41.7%,8.7%,2.32,18.8%,76.5%,38.5%,29.4%,2.68,0.0%
2026 Australian Open R32,L vs Rybakina,67.2%,53.7%,9.8%,1/5,2.61,2.8%,68.4%,53.8%,10.5%,2.52,5.3%,68.2%,53.3%,9.1%,2.70,0.0%
2026 Australian Open R128,W vs Joint,72.7%,53.6%,9.1%,3/4,2.39,11.8%,85.7%,47.6%,6.1%,2.46,19.0%,70.0%,71.4%,20.0%,2.29,0.0%
2026 Adelaide R16,L vs Keys,65.8%,48.0%,14.5%,8/3,2.84,10.0%,70.0%,46.4%,10.0%,2.91,13.3%,81.5%,50.0%,25.9%,2.78,6.7%
2025 Osaka F,L vs Fernandez,70.9%,51.8%,8.9%,0/7,2.49,6.1%,71.7%,42.1%,9.4%,2.29,9.3%,75.0%,72.2%,8.3%,2.87,0.0%
2025 Osaka SF,W vs Cristian,73.7%,57.5%,2.0%,1/1,2.30,5.6%,70.7%,48.8%,0.0%,2.31,9.5%,82.1%,68.8%,5.1%,2.30,0.0%
2025 Osaka QF,W vs Danilovic,82.1%,64.1%,3.8%,0/3,2.37,10.2%,81.3%,66.7%,2.1%,2.38,18.5%,86.2%,60.0%,6.9%,2.35,0.0%
2025 Osaka R16,W vs Mertens,73.3%,54.5%,6.7%,1/2,2.23,0.0%,84.4%,51.9%,3.1%,1.89,0.0%,66.7%,66.7%,22.2%,2.56,0.0%
2025 Osaka R32,W vs Eala,78.2%,62.8%,10.9%,2/4,2.52,2.0%,86.5%,56.3%,10.8%,2.33,2.9%,78.6%,81.8%,14.3%,2.90,0.0%
2025 US Open R64,L vs Rybakina,67.5%,57.7%,2.6%,1/1,2.67,0.0%,61.0%,48.0%,2.4%,2.40,0.0%,79.4%,66.7%,2.9%,3.04,0.0%
2025 US Open R128,W vs Bronzetti,69.6%,57.7%,2.0%,1/1,2.62,0.0%,62.5%,56.7%,4.2%,2.66,0.0%,83.7%,58.5%,0.0%,2.55,0.0%
2025 Prague SF,L vs Bouzkova,68.6%,52.1%,1.4%,0/1,2.60,5.8%,69.6%,53.1%,2.2%,2.89,10.3%,84.2%,50.0%,0.0%,2.23,0.0%
2025 Prague R16,W vs Sramkova,72.7%,54.7%,1.1%,1/0,2.63,2.9%,77.3%,58.8%,0.0%,2.78,0.0%,76.9%,50.0%,2.6%,2.39,7.4%
2025 Prague R32,W vs Ito,85.1%,67.5%,2.1%,1/0,2.72,51.5%,92.9%,65.4%,0.0%,2.67,54.2%,93.3%,71.4%,6.7%,2.83,44.4%
2025 Roland Garros R64,L vs Gauff,68.5%,59.5%,3.7%,2/0,2.17,2.2%,74.4%,51.7%,2.6%,2.13,3.2%,88.9%,87.5%,11.1%,2.27,0.0%
Last 52 Weeks (16 matches),,72.5%,55.9%,5.5%,47.5%,2.50,6.9%,74.7%,52.1%,4.3%,2.46,9.9%,80.0%,62.3%,8.5%,2.55,2.3%
Career (16 matches),,72.5%,55.9%,5.5%,47.5%,2.50,6.9%,74.7%,52.1%,4.3%,2.46,9.9%,80.0%,62.3%,8.5%,2.55,2.3%
