Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2017 Acapulco R32,W vs Sela,28.0%,41.5%,57.4%,34.5%,34.8%,50.0%,53.3%,46.3%,55.6%,57.1%,100.0%,22.6%,35.5%,62.5%,96
2017 Chennai SF,L vs Medvedev,26.1%,37.0%,50.0%,35.4%,27.3%,42.4%,45.8%,40.3%,61.3%,54.3%,75.0%,25.0%,25.0%,61.1%,37
2016 Istanbul CH F,L vs Jaziri,24.7%,35.6%,36.5%,29.9%,26.3%,36.8%,32.1%,36.3%,55.6%,80.0%,87.5%,25.0%,37.5%,41.7%,51
2016 Olympics R64,W vs Dzumhur,19.7%,28.2%,48.2%,21.8%,22.0%,29.3%,40.6%,25.6%,80.0%,61.9%,66.7%,17.2%,27.6%,58.3%,-29
2016 Washington R64,L vs Fritz,37.5%,45.3%,42.9%,41.7%,48.6%,56.8%,47.4%,55.9%,55.0%,35.3%,0.0%,27.3%,36.4%,37.5%,126
2016 Washington R64,L vs Fritz,37.5%,45.3%,42.9%,41.7%,48.6%,56.8%,47.4%,55.9%,55.0%,35.3%,0.0%,27.3%,36.4%,37.5%,126
2015 Andria CH R32,W vs Bossel,25.0%,33.3%,73.1%,34.2%,33.3%,47.6%,92.9%,49.0%,50.0%,66.7%,-,14.3%,14.3%,50.0%,22
2014 Atlanta F,L vs Isner,27.5%,33.3%,58.8%,33.9%,27.3%,36.4%,70.8%,37.3%,42.9%,15.8%,-,33.3%,33.3%,30.0%,173
2014 Dusseldorf R32,L vs Davydenko,10.0%,22.0%,40.5%,14.0%,15.4%,30.8%,27.3%,23.1%,38.5%,53.8%,50.0%,4.8%,14.3%,55.0%,-72
Career (9 matches),,26.6%,36.4%,49.0%,32.3%,31.6%,43.2%,48.3%,41.2%,56.6%,51.4%,61.5%,21.9%,30.0%,50.0%,94
