Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Nottingham R32,L vs Kartal,13.0%,26.0%,48.5%,19.6%,37.3%,56.1%,65.2%,57.1%,60.0%,0.0%,4.0%,36.0%,61.5%,66.7%,100.0%,-119
2024 Roland Garros R128,L vs Swiatek,8.7%,15.2%,36.8%,16.7%,29.2%,40.0%,22.2%,40.0%,50.0%,0.0%,0.0%,33.3%,55.6%,66.7%,100.0%,-119
2023 Roland Garros R64,L vs Avanesyan,1.9%,15.4%,44.9%,3.8%,26.9%,48.0%,60.0%,18.2%,0.0%,0.0%,4.2%,41.7%,30.0%,85.7%,100.0%,-119
2023 Roland Garros R128,W vs Birrell,14.3%,23.2%,46.7%,21.2%,33.3%,42.3%,63.3%,30.6%,33.3%,5.0%,10.0%,52.6%,31.3%,62.5%,50.0%,-69
2022 Montevideo F,L vs Shnaider,16.2%,32.4%,48.0%,24.2%,45.5%,52.0%,62.5%,29.4%,0.0%,10.7%,25.0%,44.0%,73.3%,23.1%,0.0%,-20
2022 Roland Garros R128,W vs Parrizas Diaz,14.3%,25.0%,67.5%,23.3%,40.0%,73.9%,41.2%,15.4%,-,5.6%,11.1%,58.8%,33.3%,66.7%,100.0%,-74
Last 52 Weeks (1 matches),,13.0%,26.0%,48.5%,19.6%,37.3%,56.1%,65.2%,57.1%,60.0%,0.0%,4.0%,36.0%,61.5%,66.7%,100.0%,-119
Career (6 matches),,12.2%,23.6%,48.3%,19.1%,35.7%,51.1%,56.4%,35.0%,31.6%,3.9%,9.8%,44.9%,49.3%,61.9%,61.5%,-80
