Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,20,2,18,10.0%,5-35,12.5%,127-226,36.0%,0-0,-,17,59.2%,14.7%,3.5%,5.2%,60.3%,59.4%,46.8%,54.4%,33.7%,44.2%,0.74
Clay,20,10,10,50.0%,20-24,45.5%,180-217,45.3%,1-2,33.3%,20,56.7%,35.7%,2.0%,6.5%,60.6%,59.1%,43.5%,52.9%,44.3%,48.7%,0.94
Grass,3,0,3,0.0%,0-6,0.0%,17-36,32.1%,0-0,-,3,59.3%,3.8%,2.3%,4.1%,60.4%,64.9%,32.6%,52.1%,27.2%,41.8%,0.57
Grand Slams,14,4,10,28.6%,7-22,24.1%,102-158,39.2%,0-1,0.0%,14,56.3%,24.0%,2.0%,5.0%,59.6%,59.4%,43.1%,52.8%,38.4%,46.0%,0.82
Premiers,3,0,3,0.0%,1-6,14.3%,23-37,38.3%,0-0,-,3,60.0%,16.7%,3.0%,5.0%,61.2%,61.8%,38.5%,52.7%,33.0%,43.5%,0.70
Internationals,20,5,15,25.0%,10-31,24.4%,142-224,38.8%,1-1,50.0%,18,56.4%,23.5%,3.1%,6.7%,60.4%,59.3%,43.7%,53.1%,39.0%,46.0%,0.83
Quarter-finals,2,0,2,0.0%,1-4,20.0%,19-27,41.3%,0-1,0.0%,2,56.5%,27.3%,1.2%,8.5%,64.6%,59.4%,43.1%,53.7%,42.2%,48.1%,0.91
vs Righties,40,10,30,25.0%,20-62,24.4%,284-442,39.1%,0-2,0.0%,37,57.9%,22.5%,2.8%,5.8%,60.2%,59.8%,43.4%,53.3%,37.9%,45.8%,0.81
vs Lefties,2,1,1,50.0%,3-3,50.0%,28-30,48.3%,1-0,100.0%,2,51.7%,42.9%,1.5%,5.1%,63.5%,58.4%,43.1%,52.8%,46.0%,49.4%,0.97
vs Top 10,5,1,4,20.0%,2-6,25.0%,25-40,38.5%,0-0,-,3,60.0%,21.7%,1.7%,3.5%,57.6%,62.6%,39.7%,52.9%,35.8%,45.4%,0.76
