Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R32,L vs Swiatek,95.1,101.5,5.7,104.2,95.9,110,87,87.3,3.4,91.0,87.0,94,79
2024 US Open R64,W vs Cocciaretto,90.3,96.3,7.0,98.9,94.0,107,73,80.1,4.8,82.0,80.2,90,72
2024 US Open R128,W vs Preston,90.9,99.4,5.7,103.7,97.4,106,89,82.8,5.4,93.0,83.0,93,68
2024 Wimbledon R64,L vs Zhu,95.8,100.6,4.5,101.9,100.3,106,84,84.3,2.7,86.0,,91,80
2023 US Open R64,L vs Svitolina,94.1,99.3,5.1,101.6,99.1,108,82,85.9,3.4,88.0,87.8,93,78
2023 US Open R128,W vs Crawley,94.5,97.1,8.5,100.1,92.7,107,80,84.8,3.2,88.5,,90,80
2021 US Open R16,L vs Pliskova,97.2,101.7,5.6,104.6,98.3,109,86,88.0,3.1,93.5,86.0,96,83
2021 US Open R32,W vs Gracheva,95.2,99.6,6.4,102.8,96.8,111,86,86.6,3.2,89.0,,92,80
2021 US Open R64,W vs Schmiedlova,92.9,96.4,6.4,102.1,94.4,109,78,84.5,4.1,87.3,90.0,90,73
2021 US Open R128,W vs Riske Amritraj,96.6,101.5,5.7,104.1,98.5,110,86,86.2,4.4,86.0,92.5,94,78
2021 Wimbledon R32,L vs Muchova,92.0,95.8,6.3,97.4,93.6,105,84,83.5,3.4,88.0,,91,76
2021 Wimbledon R64,W vs Pliskova,92.7,96.2,6.3,98.0,98.6,108,83,83.9,3.0,79.0,,91,79
2019 US Open R64,L vs Bertens,92.3,97.9,6.5,102.7,95.6,107,77,84.8,5.8,88.5,90.0,100,73
2019 Wimbledon R128,L vs Bencic,96.9,100.9,3.9,102.8,99.9,107,90,91.7,3.9,95.0,93.0,98,85
2017 Roland Garros R64,L vs Cepede Royg,96.0,99.0,5.4,,,111,87,87.2,3.8,,,92,78
2017 Australian Open QF,L vs Williams,95.3,99.1,5.3,101.8,95.3,106,84,87.8,4.2,93.0,88.0,94,79
2017 Australian Open R16,W vs Kuznetsova,94.3,98.8,7.1,103.5,94.8,108,77,85.1,2.7,83.5,87.5,90,80
2017 Australian Open R32,W vs Svitolina,96.1,100.5,5.5,103.0,96.7,109,83,88.2,3.6,92.4,88.8,96,81
2017 Australian Open R64,W vs Vikhlyantseva,91.5,96.0,6.8,98.8,92.4,109,83,83.2,5.1,,88.5,93,75
2016 US Open R32,L vs Pliskova,93.7,97.8,5.6,99.8,94.4,105,72,82.6,6.4,87.8,80.0,99,73
Career (50 matches),,93.2,98.6,6.1,101.5,96.1,111,69,84.6,4.1,88.9,86.3,108,64
