Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,10,1,9,10.0%,4-19,17.4%,87-133,39.5%,1-3,25.0%,10,64.2%,15.0%,4.6%,8.5%,56.5%,65.7%,41.9%,55.3%,35.2%,45.8%,0.79
Clay,4,1,3,25.0%,2-6,25.0%,31-43,41.9%,0-0,-,4,58.3%,26.3%,3.0%,7.5%,51.3%,65.7%,39.2%,52.8%,38.9%,46.2%,0.82
Grass,9,7,2,77.8%,14-8,63.6%,119-103,53.6%,3-2,60.0%,9,70.9%,35.5%,5.1%,6.2%,66.6%,66.7%,43.0%,58.8%,45.3%,52.1%,1.10
Grand Slams,9,5,4,55.6%,11-11,50.0%,112-114,49.6%,3-3,50.0%,9,70.9%,28.2%,4.0%,6.3%,60.5%,65.8%,46.3%,58.1%,40.7%,49.6%,0.97
Premiers,3,0,3,0.0%,0-6,0.0%,17-37,31.5%,0-1,0.0%,3,59.3%,3.8%,4.9%,11.9%,49.7%,70.7%,37.6%,54.1%,32.1%,43.7%,0.70
Internationals,4,3,1,75.0%,6-4,60.0%,55-45,55.0%,1-1,50.0%,4,72.0%,37.5%,6.9%,6.3%,70.5%,67.9%,39.8%,59.6%,46.2%,53.1%,1.15
Semi-finals,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,1,54.5%,20.0%,2.8%,5.6%,68.1%,57.1%,30.4%,48.6%,37.3%,43.9%,0.72
Quarter-finals,2,1,1,50.0%,2-3,40.0%,21-21,50.0%,0-1,0.0%,2,71.4%,30.0%,5.6%,7.5%,72.5%,63.8%,34.1%,55.6%,44.2%,50.2%,1.00
vs Righties,22,9,13,40.9%,19-31,38.0%,226-263,46.2%,4-5,44.4%,22,67.6%,24.7%,4.7%,7.6%,59.1%,67.6%,41.8%,57.0%,39.9%,48.8%,0.93
vs Top 10,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,44.4%,30.0%,0.0%,9.1%,52.7%,48.3%,46.2%,47.3%,35.3%,41.5%,0.67
