Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 US Open R64,L vs Azarenka,26.4%,40.3%,35.4%,33.3%,42.9%,28.6%,40.9%,65.0%,57.1%,20.0%,44.0%,45.0%,25.0%,53.8%,66.7%,73
2025 Cincinnati R64,L vs Ito,12.9%,28.0%,38.5%,13.0%,27.5%,38.3%,81.8%,55.6%,50.0%,14.3%,33.3%,38.9%,36.4%,30.0%,0.0%,25
2025 Wimbledon QF,L vs Anisimova,27.2%,34.6%,35.2%,25.9%,34.5%,39.5%,46.2%,34.4%,0.0%,38.9%,44.4%,18.2%,0.0%,30.0%,33.3%,158
2025 Miami R128,L vs Linette,37.9%,50.0%,45.7%,43.8%,62.5%,61.1%,46.2%,63.2%,50.0%,39.3%,46.4%,29.4%,58.3%,50.0%,0.0%,109
2025 Australian Open QF,L vs Sabalenka,21.5%,29.1%,43.9%,26.5%,38.8%,50.0%,21.7%,73.1%,75.0%,16.0%,16.0%,33.3%,33.3%,46.2%,100.0%,35
2024 US Open R32,L vs Swiatek,26.2%,37.7%,38.6%,33.3%,42.4%,36.4%,40.0%,30.8%,0.0%,18.5%,33.3%,40.9%,30.0%,41.2%,66.7%,-61
2024 US Open R128,W vs Preston,27.7%,44.7%,66.7%,38.1%,57.1%,76.9%,50.0%,88.9%,-,22.7%,40.9%,58.8%,44.4%,38.5%,50.0%,82
2024 Toronto R64,L vs Azarenka,38.1%,44.4%,25.7%,52.6%,60.5%,27.8%,22.2%,40.0%,16.7%,19.0%,23.8%,23.5%,54.5%,40.0%,66.7%,65
2024 Doha SF,L vs Rybakina,23.2%,41.1%,43.9%,27.5%,52.5%,55.2%,42.1%,47.6%,50.0%,14.3%,14.3%,16.7%,83.3%,25.0%,0.0%,25
2024 Doha QF,W vs Collins,25.4%,29.9%,49.0%,29.5%,36.4%,61.3%,27.3%,18.2%,0.0%,18.2%,18.2%,27.8%,12.5%,0.0%,-,-51
2024 Linz SF,L vs Ostapenko,34.1%,38.6%,38.5%,30.8%,38.5%,38.9%,23.1%,61.5%,100.0%,46.7%,46.7%,37.5%,42.9%,50.0%,33.3%,97
2023 US Open R128,W vs Crawley,23.6%,36.4%,47.4%,23.1%,41.0%,50.0%,41.2%,36.4%,33.3%,33.3%,33.3%,37.5%,28.6%,0.0%,-,169
2023 Roland Garros QF,L vs Muchova,16.2%,30.9%,44.2%,16.7%,31.3%,42.5%,29.2%,33.3%,60.0%,20.0%,40.0%,50.0%,28.6%,87.5%,100.0%,54
2023 Roland Garros R16,W vs Mertens,13.3%,29.6%,51.9%,16.4%,37.7%,49.0%,28.0%,44.4%,33.3%,10.3%,20.7%,57.7%,26.7%,35.7%,66.7%,-25
2023 Roland Garros R32,W vs Potapova,15.6%,26.0%,50.8%,18.8%,27.1%,51.3%,54.2%,45.8%,60.0%,13.0%,30.4%,50.0%,41.7%,27.3%,0.0%,0
2023 Roland Garros R64,W vs Samsonova,17.3%,29.1%,52.4%,28.1%,39.1%,52.2%,30.0%,58.8%,60.0%,2.6%,17.9%,52.6%,16.7%,57.1%,83.3%,-94
2023 Roland Garros R128,W vs Fruhvirtova,14.3%,26.2%,62.9%,17.2%,27.6%,75.0%,53.8%,43.8%,0.0%,8.3%,25.0%,36.4%,16.7%,66.7%,-,-30
2023 Rome R64,L vs Swiatek,7.0%,16.3%,31.4%,15.0%,20.0%,47.1%,36.4%,44.4%,42.9%,0.0%,16.7%,16.7%,12.5%,40.0%,75.0%,-119
2023 Australian Open R128,L vs Giorgi,21.2%,24.2%,4.3%,23.5%,29.4%,7.7%,66.7%,50.0%,33.3%,23.1%,23.1%,0.0%,50.0%,20.0%,-,97
2022 Australian Open R64,W vs Stosur,26.5%,40.8%,63.3%,29.7%,48.6%,65.4%,12.5%,47.6%,0.0%,33.3%,33.3%,50.0%,33.3%,33.3%,0.0%,73
Last 52 Weeks (3 matches),,21.5%,33.7%,36.7%,22.5%,33.7%,36.6%,59.3%,50.0%,45.0%,23.4%,40.6%,36.7%,22.6%,39.4%,37.5%,100
Career (73 matches),,21.9%,32.4%,46.0%,26.7%,39.3%,48.1%,41.8%,45.4%,42.9%,17.3%,26.0%,42.4%,24.1%,37.7%,43.0%,45
