Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,20,Hard,49,29,20,59.2%,15,11,4,73.3%,2007,2026,QF,39,1.05,4.2%,6.7%,63.1%,66.9%,42.1%,57.7%,44.4%,55.5%,44.2%
Roland Garros,17,Clay,49,32,17,65.3%,11,6,5,54.5%,2008,2025,F,43,1.07,3.0%,5.1%,62.9%,63.1%,46.1%,56.8%,46.4%,56.3%,48.3%
Wimbledon,16,Grass,38,22,16,57.9%,13,8,5,61.5%,2007,2025,QF,32,1.03,3.5%,5.3%,64.5%,67.2%,43.9%,58.9%,42.2%,59.4%,42.4%
US Open,17,Hard,41,24,17,58.5%,7,5,2,71.4%,2007,2025,QF,33,1.02,4.0%,7.6%,59.7%,66.1%,43.0%,56.8%,44.1%,59.3%,48.2%
Olympics,2,,6,4,2,66.7%,0,0,0,-,2016,2021,QF,2,1.17,2.4%,7.2%,69.9%,72.4%,28.0%,59.0%,47.8%,16.7%,50.0%
Fed Cup,8,,18,9,9,50.0%,6,5,1,83.3%,2009,2019,,7,0.97,2.7%,6.4%,67.7%,66.4%,44.4%,59.3%,39.5%,45.9%,46.9%
Dubai,15,Hard,23,8,15,34.8%,5,0,5,0.0%,2024,2026,QF,22,0.93,2.8%,7.4%,60.6%,63.6%,41.9%,55.1%,41.7%,51.2%,44.2%
Doha,7,Hard,14,7,7,50.0%,2,1,1,50.0%,2012,2026,SF,14,0.99,3.3%,4.8%,62.8%,64.2%,44.3%,56.8%,42.6%,60.6%,45.7%
Abu Dhabi,3,Hard,4,1,3,25.0%,1,0,1,0.0%,2021,2026,R16,4,0.99,2.5%,9.1%,61.3%,71.8%,38.3%,58.8%,40.8%,66.7%,35.7%
Brisbane,7,Hard,21,13,8,61.9%,6,3,3,50.0%,2010,2026,F,21,1.02,5.6%,6.7%,59.9%,68.4%,42.6%,58.1%,42.6%,51.9%,50.0%
Monterrey,8,Hard,28,24,4,85.7%,5,3,2,60.0%,2010,2025,W,27,1.19,4.9%,7.2%,59.4%,69.2%,48.7%,60.9%,46.5%,61.6%,49.4%
Cincinnati,14,Hard,32,18,14,56.3%,7,2,5,28.6%,2009,2025,SF,30,1.03,4.3%,8.3%,60.1%,65.1%,43.6%,56.5%,44.9%,59.6%,43.8%
