Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
23-Mar-2026,W35 Junin,Clay,F,370,222,Luisina Giovannini [ARG] d. Capurro Taborda,7-6(3) 6-2,0.79,0.0%,14.8%,67.2%,53.7%,15.0%,2/8,2:08
27-Oct-2025,W35 Neuquen,Clay,F,428,495,Capurro Taborda d. Fernanda Labrana [CHI],6-1 6-0,1.90,2.3%,7.0%,67.4%,69.0%,42.9%,1/2,1:12
22-Sep-2025,W15 LujÃ¡n,Clay,F,572,515,Capurro Taborda d. Fernanda Labrana [CHI],3-6 7-6(1) 6-4,1.09,0.0%,4.7%,66.0%,58.6%,44.4%,6/13,3:03
15-Sep-2025,W15 Lujan,clay,F,554,542,Capurro Taborda d. Maria Florencia Urrutia [ARG],7-5 6-4,1.10,0.0%,5.4%,68.9%,51.0%,52.2%,6/11,2:07
08-Sep-2025,W15 Sao Luis,Clay,F,554,754,Hibah Shaikh [USA] d. Capurro Taborda,7-5 6-2,0.75,1.4%,1.4%,65.3%,48.9%,56.0%,3/8,2:03
19-May-2025,W15 Trelew,Hard,F,697,588,Victoria Bosio [ARG] d. Capurro Taborda,7-6(1) 6-4,0.77,1.4%,4.1%,77.0%,50.9%,41.2%,6/11,1:52
12-May-2025,W15 Trelew,Hard,F,611,590,Capurro Taborda d. Victoria Bosio [ARG],3-6 6-2 6-1,1.38,1.5%,3.0%,77.6%,57.7%,53.3%,3/8,1:45
20-Nov-2023,Florianopolis 125,Clay,F,194,543,(WC) Ajla Tomljanovic [AUS] d. Capurro Taborda,6-1 7-5,0.75,0.0%,4.1%,75.7%,53.6%,16.7%,7/13,1:48
02-Oct-2023,W25 Mendoza,Clay,F,202,228,(2) Solana Sierra [ARG] d. (1) Capurro Taborda,6-1 6-3,,,,,,,,
31-Jul-2023,W25 Junin,Clay,F,259,290,(1) Capurro Taborda d. (2) Solana Sierra [ARG],3-6 7-6(2) 6-1,,,,,,,,
