Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 W25 Mendoza F,L vs Sierra,33% (2/6),40% (2/5),0/0,0/0,14% (1/7),4/6,2/3,- (0/0),- (0/0)
2019 W15 Tabarka R32,L vs Brancaccio,20% (2/10),50% (1/2),0/0,0/0,0% (0/6),0/2,0/1,- (0/0),- (0/0)
2019 W15 Tabarka R16,W vs Rusova,63% (5/8),88% (7/8),2/3,1/1,0% (0/4),0/0,0/0,- (0/0),- (0/0)
2019 W15 Tabarka R16,W vs Alexandre Da Rosa,67% (6/9),86% (6/7),2/2,1/1,50% (3/6),0/0,0/0,- (0/0),- (0/0)
2019 W15 Tabarka Q1,W vs Zlatarova,67% (6/9),60% (6/10),2/2,1/1,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2017 Sharm El Sheikh $15K R16,L vs Timotin,55% (6/11),36% (4/11),1/2,0/0,40% (4/10),3/5,2/3,- (0/0),- (0/0)
2017 Sharm El Sheikh $15K QF,L vs Clerici,56% (5/9),29% (2/7),0/0,0/0,60% (6/10),1/3,1/2,- (0/0),- (0/0)
2017 Hammamet $15K R16,L vs Eklund,71% (5/7),86% (6/7),1/2,0/0,50% (9/18),0/2,0/1,- (0/0),- (0/0)
2017 Villa del Dique $15K QF,L vs Gleason,40% (4/10),50% (3/6),0/0,0/0,40% (4/10),1/3,1/2,- (0/0),- (0/0)
2017 Villa del Dique $15K R16,W vs Bourguignon,70% (7/10),33% (5/15),2/2,1/1,50% (3/6),0/0,0/0,- (0/0),- (0/0)
2017 Villa del Dique $15K R32,W vs Rossi,54% (7/13),56% (5/9),2/5,1/4,50% (3/6),1/1,0/0,50% (5/10),60% (6/10)
2017 Benavides $15K QF,L vs Sanchez,30% (3/10),0% (0/5),0/0,0/0,64% (9/14),1/3,1/2,- (0/0),- (0/0)
2017 Benavides $15K R16,W vs Baranano,62% (8/13),71% (5/7),2/3,1/2,67% (4/6),3/3,0/0,- (0/0),- (0/0)
2017 Sao Jose Dos Campos $15K R16,W vs Luini,45% (5/11),70% (7/10),2/3,1/2,67% (6/9),0/0,0/0,- (0/0),- (0/0)
2017 Sao Jose Dos Campos $15K R32,W vs Codino,78% (7/9),45% (5/11),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2017 Campinas $15K R16,L vs Carle,25% (1/4),50% (2/4),0/0,0/0,53% (8/15),2/4,2/3,- (0/0),- (0/0)
2017 Campinas $15K R32,W vs Ferreira Caputo,62% (8/13),50% (4/8),2/3,1/1,78% (7/9),4/4,0/0,75% (6/8),38% (3/8)
2017 Sao Paulo $25K R32,L vs Pigossi,33% (7/21),50% (6/12),1/1,0/0,46% (6/13),0/2,0/1,- (0/0),- (0/0)
2017 Curitiba $25K R32,L vs Yerolymos,67% (6/9),25% (2/8),1/1,0/0,29% (2/7),1/3,0/1,- (0/0),- (0/0)
2016 Santiago $25K R32,L vs Ormaechea,17% (1/6),33% (1/3),0/0,0/0,25% (2/8),0/2,0/1,- (0/0),- (0/0)
2023 (1 matches),,33.3%,40.0%,-,-,14.3%,66.7%,66.7%,-,-
2019 (4 matches),,52.8%,74.1%,85.7%,100.0%,16.7%,0.0%,0.0%,-,-
2017 (14 matches),,52.7%,46.7%,66.7%,54.5%,53.3%,51.5%,46.7%,61.1%,50.0%
2016 (15 matches),,48.2%,57.5%,65.4%,88.9%,50.0%,46.4%,46.2%,33.3%,20.0%
2015 (11 matches),,60.9%,51.2%,55.2%,57.1%,54.5%,43.8%,50.0%,53.8%,46.2%
Career (46 matches),,53.0%,52.7%,64.0%,67.6%,50.0%,47.1%,46.2%,52.5%,41.5%
