Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,6,1,5,16.7%,3-11,21.4%,58-82,41.4%,2-2,50.0%,6,76.1%,7.2%,8.1%,4.1%,64.1%,69.3%,48.2%,61.8%,30.4%,46.6%,0.80
Clay,12,5,7,41.7%,15-16,48.4%,153-161,48.7%,3-4,42.9%,12,86.9%,11.0%,6.8%,1.9%,63.1%,72.1%,57.2%,66.6%,31.1%,49.1%,0.93
Grand Slams,2,0,2,0.0%,1-6,14.3%,22-42,34.4%,1-0,100.0%,2,63.3%,6.1%,7.7%,5.5%,63.6%,60.7%,45.0%,55.0%,25.5%,41.4%,0.57
Masters,3,0,3,0.0%,1-6,14.3%,36-46,43.9%,1-3,25.0%,3,82.1%,7.7%,4.6%,1.5%,64.6%,68.5%,58.7%,65.0%,30.6%,47.5%,0.88
Other Tours,13,6,7,46.2%,16-15,51.6%,153-155,49.7%,3-3,50.0%,13,88.1%,11.3%,7.8%,2.3%,63.1%,74.3%,55.3%,67.3%,32.0%,50.1%,0.98
Best of 5,2,0,2,0.0%,1-6,14.3%,22-42,34.4%,1-0,100.0%,2,63.3%,6.1%,7.7%,5.5%,63.6%,60.7%,45.0%,55.0%,25.5%,41.4%,0.57
Best of 3,16,6,10,37.5%,17-21,44.7%,189-201,48.5%,4-6,40.0%,16,86.8%,10.5%,7.1%,2.1%,63.4%,73.1%,56.0%,66.8%,31.7%,49.5%,0.96
Quarter-finals,2,0,2,0.0%,1-4,20.0%,23-29,44.2%,0-1,0.0%,2,88.0%,3.8%,5.7%,3.4%,66.5%,69.2%,52.5%,63.6%,24.8%,45.8%,0.68
vs Righties,15,4,11,26.7%,13-24,35.1%,167-203,45.1%,4-5,44.4%,15,81.6%,9.3%,7.3%,2.9%,63.5%,69.5%,54.0%,63.9%,30.2%,47.5%,0.84
vs Lefties,3,2,1,66.7%,5-3,62.5%,44-40,52.4%,1-1,50.0%,3,92.7%,12.2%,6.9%,1.5%,63.3%,78.7%,55.8%,70.3%,33.8%,51.9%,1.14
