Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Miami R64,L vs Swiatek,30% (3/10),67% (2/3),1/5,60% (6/10),17% (1/6),1/2,0/0,1/1,0/0,0/0
2025 Indian Wells R64,L vs Swiatek,29% (2/7),50% (1/2),1/6,86% (6/7),0% (0/6),0/1,0/0,0/0,0/0,0/0
2025 Dubai R64,L vs Vondrousova,25% (2/8),100% (2/2),2/6,75% (6/8),0% (0/6),0/2,0/0,0/0,0/0,0/0
2024 US Open R128,L vs Zarazua,33% (3/9),33% (1/3),1/4,50% (4/8),0% (0/4),1/1,0/0,0/0,0/0,0/0
2024 Wimbledon R64,L vs Pera,29% (4/14),25% (1/4),0/2,21% (3/14),33% (1/3),1/1,1/1,2/2,0/0,1/1
2024 Wimbledon R128,W vs Blinkova,64% (7/11),86% (6/7),4/4,55% (6/11),33% (2/6),2/4,0/0,0/0,0/0,0/0
2024 Roland Garros R64,L vs Kenin,22% (2/9),50% (1/2),1/3,56% (5/9),20% (1/5),0/1,0/0,1/2,0/0,1/1
2024 Madrid R32,L vs Paolini,11% (1/9),100% (1/1),0/4,63% (5/8),20% (1/5),0/1,0/0,1/1,0/0,0/0
2024 Miami QF,L vs Collins,0% (0/9),- (0/0),0/3,38% (3/8),0% (0/3),0/0,0/0,0/0,0/0,0/0
2024 Miami R16,W vs Gauff,25% (3/12),100% (3/3),0/2,33% (4/12),50% (2/4),2/2,1/1,1/1,0/0,0/0
2024 Australian Open R128,W vs Osaka,18% (2/11),50% (1/2),0/0,0% (0/11),- (0/0),1/1,1/1,2/2,0/0,0/0
2024 United Cup SF,L vs Swiatek,25% (3/12),33% (1/3),0/4,50% (6/12),17% (1/6),1/1,1/1,1/2,0/0,0/1
2024 United Cup RR,W vs Paolini,38% (6/16),83% (5/6),1/3,25% (4/16),0% (0/4),4/5,2/2,1/2,1/1,0/0
2024 United Cup RR,W vs Kerber,45% (5/11),80% (4/5),0/2,25% (3/12),0% (0/3),4/4,2/2,0/1,1/1,0/0
2023 Guadalajara SF,L vs Sakkari,25% (2/8),0% (0/2),0/4,57% (4/7),0% (0/4),0/0,0/0,1/1,0/0,0/0
2023 US Open R128,L vs Wang,38% (3/8),0% (0/3),0/3,56% (5/9),20% (1/5),0/0,0/0,1/2,0/0,0/1
2023 Wimbledon R32,L vs Bouzkova,29% (5/17),40% (2/5),0/1,24% (4/17),50% (2/4),1/2,1/1,1/2,0/0,1/2
2023 Wimbledon R128,W vs Volynets,56% (5/9),80% (4/5),1/2,30% (3/10),33% (1/3),3/3,1/1,0/0,1/1,0/0
2023 Roland Garros R64,L vs Blinkova,38% (6/16),67% (4/6),1/5,33% (5/15),0% (0/5),2/4,1/1,2/2,0/0,1/1
2023 Roland Garros R128,W vs Wang,31% (5/16),40% (2/5),0/2,25% (4/16),50% (2/4),1/1,0/0,3/3,0/0,0/0
2025 (3 matches),,28.0%,71.4%,23.5%,72.0%,5.6%,20.0%,-,100.0%,-,-
2024 (11 matches),,29.3%,66.7%,22.6%,35.5%,18.6%,76.2%,100.0%,69.2%,100.0%,66.7%
2023 (14 matches),,34.1%,50.9%,15.6%,33.1%,33.9%,80.8%,90.0%,75.0%,100.0%,50.0%
2022 (21 matches),,43.9%,75.3%,37.8%,29.0%,40.6%,75.8%,92.0%,88.9%,92.9%,100.0%
2021 (10 matches),,34.9%,62.2%,11.5%,43.3%,31.1%,75.0%,85.7%,54.5%,100.0%,66.7%
Career (401 matches),,40.6%,73.1%,30.6%,39.0%,28.2%,72.3%,77.3%,68.4%,78.7%,61.2%
