Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Miami R64,L vs Swiatek,23.5%,30.9%,30.6%,26.7%,35.6%,33.3%,50.0%,30.4%,0.0%,20.0%,25.0%,25.0%,12.5%,25.0%,0.0%,-46
2025 Indian Wells R64,L vs Swiatek,18.2%,22.7%,21.9%,29.2%,33.3%,17.6%,31.3%,12.5%,50.0%,6.3%,12.5%,26.7%,0.0%,44.4%,66.7%,-61
2025 Dubai R64,L vs Vondrousova,8.5%,25.5%,35.0%,0.0%,24.0%,40.0%,43.8%,22.2%,33.3%,21.1%,31.6%,26.7%,42.9%,25.0%,0.0%,61
2024 Roland Garros R64,L vs Kenin,29.9%,36.4%,36.0%,38.8%,46.9%,40.0%,40.7%,27.3%,20.0%,16.7%,20.8%,30.0%,10.0%,57.1%,0.0%,46
2024 Madrid R32,L vs Paolini,16.9%,37.3%,40.8%,20.5%,43.6%,48.4%,47.4%,45.0%,66.7%,10.0%,25.0%,27.8%,10.0%,70.0%,0.0%,-104
2024 Miami QF,L vs Collins,28.3%,37.7%,39.5%,36.4%,45.5%,38.1%,27.8%,33.3%,20.0%,15.0%,25.0%,41.2%,14.3%,53.8%,0.0%,-104
2024 Miami R16,W vs Gauff,15.0%,26.3%,56.7%,21.6%,39.2%,60.0%,47.8%,21.4%,20.0%,3.6%,3.6%,51.9%,14.3%,28.6%,0.0%,-79
2024 Australian Open R128,W vs Osaka,43.1%,56.9%,69.7%,59.5%,78.4%,73.3%,46.2%,25.0%,-,25.0%,33.3%,66.7%,7.7%,54.5%,-,68
2024 United Cup SF,L vs Swiatek,22.7%,33.3%,40.0%,27.7%,42.6%,44.1%,36.0%,27.3%,0.0%,11.1%,11.1%,31.3%,0.0%,30.8%,25.0%,-40
2024 United Cup RR,W vs Paolini,41.1%,48.4%,37.3%,50.9%,59.6%,42.9%,35.5%,42.3%,0.0%,30.3%,36.4%,30.4%,0.0%,52.2%,0.0%,55
2024 United Cup RR,W vs Kerber,29.2%,45.8%,47.1%,39.1%,58.7%,50.0%,33.3%,13.6%,33.3%,11.5%,23.1%,43.5%,55.6%,29.4%,-,-104
2023 Beijing QF,L vs Swiatek,34.8%,44.6%,42.9%,44.0%,54.7%,50.0%,40.0%,35.0%,100.0%,17.6%,26.5%,32.1%,0.0%,42.3%,100.0%,-37
2023 Guadalajara SF,L vs Sakkari,25.5%,34.0%,30.3%,39.1%,52.2%,35.7%,16.7%,18.2%,0.0%,13.6%,18.2%,26.3%,11.1%,23.1%,33.3%,-3
2023 Roland Garros R64,L vs Blinkova,22.7%,32.0%,50.0%,30.6%,42.9%,52.9%,38.1%,32.1%,50.0%,17.1%,24.4%,47.1%,0.0%,66.7%,100.0%,49
2023 Roland Garros R128,W vs Wang,37.4%,51.5%,57.1%,43.6%,60.0%,51.6%,26.7%,44.0%,0.0%,34.2%,47.4%,64.0%,37.5%,40.0%,0.0%,61
2023 Rome R32,L vs Osorio,25.0%,35.0%,42.9%,33.3%,45.8%,53.1%,39.1%,48.0%,50.0%,14.3%,21.4%,29.2%,25.0%,81.3%,100.0%,25
2023 Miami R64,L vs Cirstea,24.5%,37.7%,41.7%,27.6%,44.8%,42.9%,21.4%,40.0%,0.0%,25.0%,35.0%,40.0%,27.3%,33.3%,66.7%,97
2023 Monterrey F,L vs Vekic,34.8%,51.1%,47.4%,40.3%,58.1%,48.6%,35.5%,32.3%,-,25.9%,40.7%,45.0%,20.0%,64.7%,100.0%,17
2023 Lyon F,L vs Parks,28.2%,43.6%,62.3%,34.0%,55.3%,67.7%,36.8%,32.1%,0.0%,21.4%,28.6%,54.5%,18.2%,58.8%,100.0%,13
2023 Australian Open R16,L vs Linette,22.0%,35.2%,45.6%,26.7%,44.4%,63.6%,50.0%,30.4%,60.0%,18.6%,27.9%,28.6%,5.6%,20.0%,25.0%,-25
Career (92 matches),,25.7%,36.8%,47.3%,31.7%,45.2%,50.1%,34.9%,38.8%,35.1%,17.9%,25.7%,43.0%,14.9%,44.8%,51.9%,15
