Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,9,4,5,44.4%,10-13,43.5%,111-117,48.7%,1-1,50.0%,0,,,,,,,,,,,,R16 (4x)
2022,8,3,5,37.5%,7-10,41.2%,61-85,41.8%,1-0,100.0%,2,21.4%,18.8%,1.1%,3.2%,64.5%,43.3%,30.3%,38.7%,32.6%,35.7%,0.53,R16 (3x)
2021,27,15,12,55.6%,34-29,54.0%,301-282,51.6%,3-1,75.0%,0,,,,,,,,,,,,F (W15 Sharm El Sheikh)
2020,3,0,3,0.0%,2-6,25.0%,34-46,42.5%,1-1,50.0%,1,56.3%,31.3%,0.8%,7.4%,63.9%,59.0%,43.2%,53.3%,45.2%,49.8%,0.97,R32 (2x)
2019,31,18,13,58.1%,41-33,55.4%,351-322,52.2%,3-3,50.0%,1,44.4%,22.2%,3.0%,4.5%,73.1%,44.9%,50.0%,46.3%,38.3%,42.5%,0.71,W (W25 Hamamatsu)
2018,29,13,16,44.8%,31-34,47.7%,301-316,48.8%,7-3,70.0%,2,61.1%,38.9%,1.4%,2.8%,69.0%,57.1%,47.7%,54.2%,45.9%,50.4%,1.00,SF (Canberra $25K)
2017,44,25,19,56.8%,55-42,56.7%,470-424,52.6%,5-3,62.5%,4,50.0%,52.3%,2.7%,1.7%,68.5%,52.0%,44.1%,49.5%,51.7%,50.6%,1.02,W (Toowoomba $25K)
2016,35,19,16,54.3%,40-35,53.3%,374-358,51.1%,7-7,50.0%,3,59.3%,37.9%,3.3%,2.2%,63.5%,54.8%,54.5%,54.7%,42.4%,48.6%,0.94,W (Canberra $25K)
2015,46,24,22,52.2%,50-43,53.8%,435-422,50.8%,6-1,85.7%,0,,,,,,,,,,,,F (2x)
2014,41,23,18,56.1%,52-43,54.7%,456-418,52.2%,6-2,75.0%,2,-,-,0.8%,5.0%,59.7%,59.2%,25.0%,45.4%,39.1%,42.1%,0.72,W (Bendigo 50K)
2013,53,34,19,64.2%,71-48,59.7%,582-496,54.0%,6-6,50.0%,0,,,,,,,,,,,,W (Karuizawa 25K)
2012,46,27,19,58.7%,59-47,55.7%,510-451,53.1%,5-4,55.6%,0,,,,,,,,,,,,SF (4x)
2011,3,1,2,33.3%,3-4,42.9%,36-35,50.7%,0-2,0.0%,0,,,,,,,,,,,,R16 (Noto 25K)
2009,2,0,2,0.0%,0-4,0.0%,11-24,31.4%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,377,206,171,54.6%,455-391,53.8%,4033-3796,51.5%,51-34,60.0%,15,50.8%,38.6%,2.1%,3.3%,66.0%,53.5%,42.8%,49.9%,44.3%,47.1%,0.88,
