Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2024-08-26),1054,11,,,,,,,,,,,,
2023,624,54,,,,,,,,,,,,
2022,647,42,,,,,,,,,,,,
2021,569,55,,,,,,,,,,,,
2020,334,129,,,,,,,,,726,47,,
2019,285,143,271,1462,368,1320,210,1472,,,639,53,,
2018,379,43,,,,,,,,,447,46,,
2017,329,144,328,1374,328,1316,280,1370,234,1357,793,48,,
2016,214,248,301,1394,280,1371,277,1366,,,858,45,,
2015,499,74,,,,,,,,,1293,16,,
2014,876,17,,,,,,,,,1213,16,,
2013,593,48,,,,,,,,,1275,15,,
2012,620,38,,,,,,,,,929,28,,
2010,1162,4,,,,,,,,,1035,18,,
2009,877,12,,,,,,,,,,,,
2008,948,11,,,,,,,,,1297,10,,
