Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,11,8,3,72.7%,19-7,73.1%,137-95,59.1%,1-0,100.0%,11,60.7%,57.0%,1.4%,5.0%,69.4%,59.0%,45.1%,54.7%,53.5%,54.1%,1.18,SF (2x)
2024,45,28,17,62.2%,61-47,56.5%,522-469,52.7%,8-3,72.7%,0,,,,,,,,,,,,W (W35 Amstelveen)
2023,29,17,12,58.6%,37-30,55.2%,313-299,51.1%,1-2,33.3%,0,,,,,,,,,,,,W (W25 Burnie)
2022,59,41,18,69.5%,89-43,67.4%,685-514,57.1%,4-5,44.4%,3,52.6%,34.2%,0.8%,3.8%,67.6%,54.0%,48.1%,52.1%,42.6%,47.3%,0.89,W (3x)
2021,19,12,7,63.2%,26-20,56.5%,230-211,52.2%,5-1,83.3%,0,,,,,,,,,,,,W (W25 Ourense)
2020,8,3,5,37.5%,9-11,45.0%,85-97,46.7%,1-1,50.0%,0,,,,,,,,,,,,R16 (3x)
2019,31,14,17,45.2%,36-38,48.6%,336-323,51.0%,0-3,0.0%,1,40.0%,22.2%,0.0%,1.5%,65.7%,50.0%,39.1%,46.3%,41.7%,43.9%,0.78,SF (2x)
2018,35,22,13,62.9%,50-31,61.7%,412-323,56.1%,3-3,50.0%,0,,,,,,,,,,,,W (2x)
2017,19,10,9,52.6%,25-20,55.6%,205-175,53.9%,1-0,100.0%,0,,,,,,,,,,,,QF (4x)
2016,18,8,10,44.4%,19-23,45.2%,200-203,49.6%,2-2,50.0%,0,,,,,,,,,,,,W (Perth $25K)
2015,8,5,3,62.5%,11-6,64.7%,88-76,53.7%,2-0,100.0%,0,,,,,,,,,,,,SF (Melbourne 15K)
2014,5,1,4,20.0%,1-8,11.1%,25-52,32.5%,0-0,-,0,,,,,,,,,,,,R16 (Cairns 15K)
Career,287,169,118,58.9%,383-284,57.4%,3238-2837,53.3%,28-20,58.3%,15,57.6%,49.7%,1.2%,4.5%,68.8%,57.4%,45.4%,53.7%,50.2%,52.0%,1.08,
