Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,26,10,16,38.5%,28-34,45.2%,285-301,48.6%,1-4,20.0%,26,68.6%,29.6%,5.5%,6.3%,54.7%,66.2%,48.2%,58.1%,40.3%,49.0%,0.96
Clay,13,8,5,61.5%,20-11,64.5%,156-134,53.8%,2-2,50.0%,13,73.6%,34.9%,2.5%,2.5%,64.8%,68.1%,48.8%,61.3%,44.2%,52.3%,1.14
Grass,10,7,3,70.0%,15-8,65.2%,122-101,54.7%,2-1,66.7%,10,75.0%,34.8%,7.1%,3.5%,59.2%,71.2%,47.4%,61.5%,42.8%,52.0%,1.11
Grand Slams,12,8,4,66.7%,19-9,67.9%,149-112,57.1%,1-1,50.0%,12,75.0%,39.7%,4.0%,4.0%,63.1%,68.7%,47.8%,61.0%,45.8%,53.1%,1.17
Premiers,14,8,6,57.1%,18-14,56.3%,156-145,51.8%,2-3,40.0%,14,69.4%,34.9%,7.0%,6.2%,56.2%,67.4%,46.7%,58.3%,42.2%,50.3%,1.01
Internationals,9,6,3,66.7%,14-7,66.7%,103-97,51.5%,2-0,100.0%,9,71.9%,31.4%,5.3%,3.6%,61.0%,67.6%,49.0%,60.4%,42.7%,50.9%,1.08
Finals,1,0,1,0.0%,1-2,33.3%,9-18,33.3%,1-0,100.0%,1,50.0%,14.3%,1.4%,2.7%,60.3%,63.6%,37.9%,53.4%,38.7%,44.7%,0.83
Semi-finals,2,1,1,50.0%,2-2,50.0%,17-18,48.6%,0-0,-,2,64.7%,33.3%,7.3%,1.8%,65.5%,69.4%,28.9%,55.5%,39.0%,47.6%,0.88
Quarter-finals,6,2,4,33.3%,5-9,35.7%,60-70,46.2%,0-1,0.0%,6,64.1%,29.2%,3.9%,5.6%,60.9%,62.7%,43.8%,55.3%,40.2%,47.7%,0.90
vs Righties,45,24,21,53.3%,59-47,55.7%,521-484,51.8%,5-7,41.7%,45,71.9%,32.7%,5.2%,4.6%,58.2%,68.0%,48.4%,59.8%,42.1%,50.7%,1.05
vs Lefties,4,1,3,25.0%,4-6,40.0%,42-52,44.7%,0-0,-,4,63.8%,25.5%,3.3%,6.7%,59.3%,66.3%,45.9%,58.0%,39.3%,48.4%,0.94
vs Top 10,6,2,4,33.3%,5-10,33.3%,71-84,45.8%,1-3,25.0%,6,70.7%,22.4%,7.0%,3.4%,62.0%,66.0%,47.5%,58.9%,38.1%,48.6%,0.93
