Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Indian Wells R64,L vs Krueger,19.2%,28.3%,42.7%,20.4%,37.0%,48.8%,65.4%,21.4%,33.3%,20.0%,20.0%,34.4%,0.0%,9.5%,50.0%,30
2025 Beijing R64,L vs Boisson,18.0%,28.0%,51.3%,24.0%,40.0%,52.6%,42.9%,36.4%,0.0%,13.0%,17.4%,50.0%,20.0%,38.5%,100.0%,-7
2025 Wimbledon QF,L vs Swiatek,21.2%,28.8%,40.4%,26.8%,36.6%,50.0%,88.2%,25.0%,0.0%,15.0%,20.0%,23.5%,11.1%,9.1%,50.0%,19
2025 Berlin QF,W vs Anisimova,31.7%,46.3%,61.5%,36.7%,50.0%,63.2%,85.7%,31.3%,-,22.2%,44.4%,57.1%,0.0%,14.3%,-,90
2025 Strasbourg F,L vs Rybakina,16.4%,32.9%,45.8%,17.8%,42.2%,54.1%,80.0%,80.0%,100.0%,15.4%,19.2%,31.8%,0.0%,66.7%,75.0%,-18
2025 Stuttgart R32,L vs Alexandrova,24.6%,34.4%,44.7%,40.0%,50.0%,44.4%,43.8%,35.7%,0.0%,13.0%,26.1%,45.0%,0.0%,53.3%,33.3%,-7
2025 Indian Wells QF,L vs Sabalenka,13.3%,30.0%,38.8%,13.2%,28.9%,36.4%,85.7%,70.6%,75.0%,15.8%,36.8%,43.8%,0.0%,50.0%,0.0%,38
2025 Indian Wells R16,W vs Paolini,30.2%,48.8%,62.1%,35.5%,54.8%,60.0%,82.4%,85.7%,0.0%,18.2%,36.4%,66.7%,0.0%,66.7%,100.0%,-3
2025 Indian Wells R32,W vs Kasatkina,23.5%,31.8%,42.9%,37.3%,45.1%,40.6%,70.4%,75.0%,62.5%,3.1%,12.5%,45.2%,7.7%,31.6%,0.0%,-85
2025 Doha R64,W vs Sun,30.1%,43.8%,53.2%,43.2%,63.6%,64.0%,85.0%,37.5%,33.3%,12.0%,16.0%,40.9%,91.7%,15.4%,0.0%,0
2025 Australian Open R64,L vs Danilovic,20.0%,30.9%,26.2%,15.8%,31.6%,28.1%,78.9%,47.4%,42.9%,33.3%,33.3%,20.0%,14.3%,12.5%,33.3%,38
2024 US Open R16,L vs Swiatek,20.0%,27.3%,46.3%,27.3%,36.4%,37.5%,53.3%,38.9%,40.0%,10.5%,15.8%,58.8%,22.2%,70.0%,-,-14
2024 US Open R32,W vs Krueger,36.1%,47.2%,69.6%,55.0%,70.0%,66.7%,66.7%,50.0%,-,12.5%,18.8%,71.4%,77.8%,14.3%,-,-104
2024 Cincinnati QF,L vs Sabalenka,21.3%,34.0%,51.6%,38.1%,57.1%,53.8%,77.8%,25.0%,-,10.0%,20.0%,50.0%,40.0%,80.0%,0.0%,-30
2024 Wimbledon R32,L vs Kalinskaya,34.3%,43.3%,40.0%,64.0%,80.0%,66.7%,69.2%,75.0%,66.7%,18.4%,23.7%,32.3%,5.6%,55.0%,100.0%,11
2024 Wimbledon R64,W vs Avanesyan,30.4%,50.0%,48.6%,41.4%,72.4%,58.8%,42.9%,53.3%,66.7%,21.7%,30.4%,38.9%,0.0%,38.5%,0.0%,75
2024 s Hertogenbosch F,W vs Andreescu,35.3%,45.1%,44.3%,41.1%,53.6%,42.4%,25.0%,10.7%,0.0%,31.7%,39.0%,46.4%,9.5%,25.0%,-,27
2024 s Hertogenbosch R16,W vs Naef,36.8%,47.4%,64.5%,47.1%,64.7%,72.2%,61.5%,33.3%,50.0%,27.8%,27.8%,53.8%,0.0%,22.2%,66.7%,131
2024 Abu Dhabi SF,L vs Rybakina,25.0%,36.9%,40.0%,34.1%,54.5%,44.8%,60.0%,26.3%,50.0%,18.8%,21.9%,34.6%,7.1%,77.8%,80.0%,58
2023 Beijing F,L vs Swiatek,14.3%,26.5%,50.0%,24.0%,40.0%,36.8%,40.0%,26.7%,33.3%,5.6%,16.7%,64.7%,10.0%,37.5%,-,-71
Last 52 Weeks (6 matches),,21.0%,32.1%,46.1%,26.2%,41.8%,51.8%,68.2%,39.0%,23.1%,16.3%,22.0%,38.1%,5.1%,32.9%,57.1%,42
Career (60 matches),,29.1%,42.8%,48.0%,37.7%,54.6%,52.0%,52.7%,41.9%,40.9%,21.3%,32.7%,43.5%,11.9%,44.5%,50.5%,57
