Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Auckland QF,L vs Montgomery,49.1%,51.9%,10.9%,3/3,2.30,2.7%,38.9%,42.9%,13.9%,2.12,4.8%,76.5%,61.5%,5.9%,2.53,0.0%
2024 Rome R64,L vs Swiatek,71.2%,48.6%,13.5%,1/6,2.33,0.0%,66.7%,45.0%,3.3%,2.27,0.0%,77.3%,52.9%,27.3%,2.42,0.0%
2024 Miami R128,L vs Collins,57.0%,49.1%,11.8%,4/7,2.52,6.5%,60.4%,43.8%,11.3%,2.53,9.4%,67.7%,57.1%,16.1%,2.51,0.0%
2023 Roland Garros R16,L vs Jabeur,65.5%,65.8%,6.9%,1/3,2.54,16.2%,70.4%,57.9%,7.4%,2.80,16.0%,70.4%,73.7%,7.4%,1.98,16.7%
2023 Roland Garros R32,W vs Cocciaretto,73.2%,67.3%,4.2%,1/2,2.38,13.3%,76.2%,62.5%,0.0%,2.50,22.7%,90.9%,75.0%,13.6%,2.26,4.3%
2023 Roland Garros R64,W vs Vekic,68.5%,61.9%,2.2%,2/0,2.58,1.6%,72.3%,55.9%,0.0%,2.56,0.0%,78.4%,69.0%,5.4%,2.61,4.2%
2023 Roland Garros R128,W vs Kontaveit,70.3%,64.4%,6.3%,1/3,2.59,2.0%,67.5%,55.6%,7.5%,2.61,2.6%,85.7%,77.8%,4.8%,2.54,0.0%
2023 Madrid R32,L vs Swiatek,53.5%,47.8%,4.7%,1/1,2.48,10.5%,42.9%,50.0%,7.1%,2.50,14.8%,73.3%,45.5%,0.0%,2.44,0.0%
2023 Indian Wells R64,W vs Samsonova,60.0%,57.3%,7.2%,3/6,2.66,1.5%,58.9%,51.2%,6.8%,2.67,3.0%,68.1%,65.6%,8.5%,2.65,0.0%
2023 Dubai R64,L vs Muchova,51.9%,44.4%,1.9%,0/1,2.13,15.4%,53.3%,18.8%,3.3%,2.17,16.7%,55.0%,81.8%,0.0%,2.05,12.5%
2023 Australian Open R32,L vs Gauff,64.6%,52.4%,7.7%,3/2,2.28,5.3%,65.1%,46.4%,9.3%,2.21,8.3%,73.7%,64.3%,5.3%,2.39,0.0%
2022 Hamburg F,W vs Kontaveit,79.2%,52.6%,2.1%,0/1,2.12,2.3%,81.8%,48.1%,0.0%,2.02,3.3%,78.6%,63.6%,7.1%,2.37,0.0%
2022 Budapest F,W vs Krunic,70.2%,62.5%,3.5%,2/0,2.43,2.2%,62.5%,60.0%,6.3%,2.50,3.6%,90.9%,65.0%,0.0%,2.32,0.0%
2022 Budapest R32,W vs Bassols Ribera,82.5%,55.8%,3.2%,1/1,2.47,0.0%,81.8%,61.1%,2.3%,2.50,0.0%,94.1%,43.8%,5.9%,2.42,0.0%
2021 Eastbourne R32,L vs Sabalenka,51.8%,41.4%,5.4%,0/3,2.35,25.0%,47.2%,41.2%,5.6%,2.36,30.0%,85.7%,41.7%,7.1%,2.32,16.7%
2020 Adelaide R16,L vs Sabalenka,55.7%,47.1%,3.3%,0/2,2.25,17.1%,55.3%,38.5%,2.1%,2.25,26.9%,72.7%,75.0%,9.1%,2.23,0.0%
2019 Beijing R64,L vs Alexandrova,50.6%,41.5%,4.9%,1/3,2.60,5.4%,50.0%,45.8%,6.3%,2.59,8.6%,68.0%,35.3%,4.0%,2.63,0.0%
2019 Wuhan R32,L vs Bertens,61.6%,51.1%,2.7%,0/2,2.30,6.6%,52.3%,47.8%,4.5%,2.16,9.1%,84.6%,54.5%,0.0%,2.67,0.0%
2019 Jurmala SF,L vs Kawa,72.1%,56.8%,4.9%,0/3,2.72,2.6%,77.3%,52.9%,2.3%,2.75,4.2%,62.5%,70.0%,12.5%,2.66,0.0%
2019 Lausanne SF,L vs Ferro,69.0%,42.5%,3.4%,1/1,2.44,4.8%,67.6%,40.0%,2.7%,2.26,7.3%,75.0%,46.7%,5.0%,2.77,0.0%
Career (31 matches),,64.4%,53.3%,5.1%,38.7%,2.43,6.6%,63.1%,49.0%,4.1%,2.41,9.1%,76.4%,59.5%,7.5%,2.46,1.7%
