Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Auckland QF,L vs Montgomery,34.4%,43.8%,40.5%,44.7%,55.3%,33.3%,33.3%,50.0%,100.0%,23.8%,33.3%,50.0%,11.1%,83.3%,100.0%,103
2024 Rome R64,L vs Swiatek,16.4%,24.6%,34.0%,23.1%,33.3%,36.7%,33.3%,42.9%,30.0%,5.6%,11.1%,29.4%,11.1%,66.7%,66.7%,-64
2024 Miami R128,L vs Collins,31.2%,36.4%,34.8%,38.5%,44.2%,37.5%,30.8%,46.2%,14.3%,22.2%,27.8%,28.6%,14.3%,27.3%,0.0%,65
2023 Roland Garros R16,L vs Jabeur,8.9%,13.3%,21.6%,13.8%,20.7%,28.0%,21.4%,86.7%,100.0%,0.0%,0.0%,8.3%,0.0%,40.0%,100.0%,-119
2023 Roland Garros R32,W vs Cocciaretto,23.8%,34.9%,40.0%,31.3%,46.9%,31.8%,43.8%,68.8%,66.7%,17.9%,25.0%,47.8%,16.7%,68.8%,66.7%,13
2023 Roland Garros R64,W vs Vekic,23.6%,33.7%,41.0%,31.5%,42.6%,29.7%,50.0%,68.8%,100.0%,14.3%,25.0%,58.3%,6.3%,33.3%,0.0%,13
2023 Roland Garros R128,W vs Kontaveit,24.7%,37.0%,51.0%,27.8%,42.6%,51.3%,20.8%,70.0%,75.0%,20.0%,26.7%,50.0%,0.0%,44.4%,-,63
2023 Madrid R32,L vs Swiatek,27.1%,35.6%,34.2%,34.1%,43.9%,37.0%,34.8%,77.8%,66.7%,15.4%,23.1%,27.3%,0.0%,37.5%,40.0%,9
2023 Indian Wells R64,W vs Samsonova,30.9%,36.4%,49.3%,44.3%,49.2%,50.0%,33.3%,52.5%,40.0%,16.7%,23.8%,48.6%,15.8%,52.2%,66.7%,46
2023 Dubai R64,L vs Muchova,32.0%,46.0%,37.9%,30.0%,43.3%,38.1%,13.3%,60.0%,33.3%,46.7%,66.7%,37.5%,0.0%,62.5%,0.0%,197
2023 Australian Open R32,L vs Gauff,8.2%,16.5%,46.7%,9.4%,22.6%,47.9%,28.6%,40.6%,38.5%,6.9%,6.9%,44.4%,31.6%,30.0%,0.0%,-47
2022 Hamburg F,W vs Kontaveit,21.4%,35.7%,60.5%,26.8%,41.5%,60.0%,52.4%,90.0%,0.0%,7.1%,21.4%,61.5%,0.0%,70.0%,50.0%,-42
2022 Budapest F,W vs Krunic,24.6%,33.8%,58.7%,27.5%,40.0%,62.1%,18.8%,66.7%,66.7%,22.7%,27.3%,52.9%,0.0%,88.9%,100.0%,41
2022 Budapest R32,W vs Bassols Ribera,24.7%,32.9%,58.0%,29.5%,40.9%,54.8%,36.4%,45.5%,75.0%,20.8%,25.0%,63.2%,0.0%,100.0%,-,80
2021 Eastbourne R32,L vs Sabalenka,28.8%,51.9%,51.5%,36.4%,60.6%,52.4%,13.3%,55.6%,0.0%,20.0%,46.7%,50.0%,42.9%,75.0%,100.0%,63
2020 Adelaide R16,L vs Sabalenka,26.9%,44.8%,51.2%,33.3%,56.4%,57.7%,35.7%,64.0%,75.0%,25.0%,40.0%,40.0%,25.0%,66.7%,100.0%,87
2019 Beijing R64,L vs Alexandrova,37.6%,45.5%,41.1%,40.7%,49.2%,40.0%,14.8%,43.8%,25.0%,40.0%,48.6%,42.9%,18.8%,42.1%,100.0%,97
2019 Wuhan R32,L vs Bertens,20.0%,26.0%,48.7%,21.4%,30.0%,58.2%,28.1%,57.9%,50.0%,19.2%,19.2%,23.8%,7.7%,69.2%,100.0%,57
2019 Jurmala SF,L vs Kawa,18.5%,29.6%,38.5%,27.3%,39.4%,41.7%,62.5%,58.8%,33.3%,6.3%,18.8%,33.3%,50.0%,62.5%,50.0%,-64
2019 Lausanne SF,L vs Ferro,15.4%,26.9%,45.3%,17.6%,33.3%,52.4%,28.6%,73.3%,85.7%,12.0%,16.0%,31.8%,21.4%,100.0%,100.0%,-14
Career (31 matches),,23.4%,32.7%,45.9%,27.1%,38.4%,47.1%,32.7%,59.4%,59.5%,20.5%,27.5%,43.5%,13.7%,63.2%,67.6%,77
