Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,34,14,20,41.2%,35-40,46.7%,322-344,48.3%,3-2,60.0%,31,57.6%,37.1%,2.0%,3.6%,67.4%,56.7%,44.8%,52.9%,44.6%,48.7%,0.95,F (2x)
2024,77,49,28,63.6%,102-73,58.3%,865-752,53.5%,9-11,45.0%,6,68.5%,28.6%,1.2%,3.4%,72.9%,58.9%,48.5%,56.1%,40.6%,48.6%,0.92,W (3x)
2023,64,40,24,62.5%,90-59,60.4%,750-631,54.3%,9-6,60.0%,0,,,,,,,,,,,,W (2x)
2022,29,6,23,20.7%,17-46,27.0%,235-338,41.0%,2-4,33.3%,0,,,,,,,,,,,,SF (W25 Tbilisi)
2021,15,5,10,33.3%,11-20,35.5%,116-157,42.5%,0-0,-,4,52.9%,21.6%,1.4%,7.9%,64.8%,55.0%,43.4%,50.9%,39.6%,44.8%,0.81,QF (W60 Andrezieux-Boutheon)
2020,32,20,12,62.5%,41-28,59.4%,338-285,54.3%,2-3,40.0%,3,51.9%,72.4%,1.8%,4.2%,69.3%,50.4%,51.0%,50.6%,58.4%,55.0%,1.18,SF (2x)
2019,56,30,26,53.6%,69-58,54.3%,612-558,52.3%,5-5,50.0%,0,,,,,,,,,,,,W (W15 Antalya)
2018,32,24,8,75.0%,51-22,69.9%,378-274,58.0%,3-3,50.0%,0,,,,,,,,,,,,W (3x)
2017,40,27,13,67.5%,56-37,60.2%,466-390,54.4%,4-4,50.0%,0,,,,,,,,,,,,W (Oslo $15K)
2016,22,10,12,45.5%,23-29,44.2%,209-244,46.1%,2-1,66.7%,0,,,,,,,,,,,,F (Telde $10K)
2015,6,3,3,50.0%,7-9,43.8%,72-82,46.8%,1-2,33.3%,0,,,,,,,,,,,,QF (Tel Aviv Ramat Gan $10K)
Career,407,228,179,56.0%,502-421,54.4%,4363-4055,51.8%,40-41,49.4%,44,58.7%,36.8%,1.8%,3.9%,68.2%,56.6%,45.6%,53.1%,44.6%,48.8%,0.95,
