Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2022 W25 Platja D'Aro R32,L vs Sierra,0.82,0.59,35.3,2.1,0.0%,28.6%,0.0%,41.7%,41.4%,51.7%
2020 Hua Hin F,L vs Linette,0.84,0.51,40.9,2.0,17.2%,58.6%,0.0%,50.0%,28.6%,26.1%
2020 Hua Hin R16,W vs Zhu,1.12,1.78,39.6,2.2,3.6%,53.6%,7.7%,76.9%,55.6%,56.5%
2019 W25 Las Palmas de Gran Canaria QF,W vs Papamichail,0.98,1.24,51.7,2.0,-,48.5%,-,60.0%,53.7%,63.2%
2019 W25 Darmstadt R32,L vs Waltert,0.99,0.65,40.9,2.1,-,53.6%,-,28.0%,30.8%,47.6%
2019 W25 Klosters R32,L vs Stadler,1.08,0.86,64.4,5.2,-,38.0%,-,54.2%,41.7%,44.2%
2019 W25 Akko R32,W vs Biran,1.12,1.26,56.2,2.6,-,42.9%,-,56.5%,54.1%,61.1%
2019 W25 Hong Kong R32,L vs Lu,0.87,0.88,73.1,3.6,-,62.3%,-,55.3%,37.7%,45.8%
2019 W25 Karuizawa QF,W vs Hondo,1.17,2.25,29.8,2.1,-,68.0%,-,65.0%,59.1%,70.0%
2019 W25 Changwon SF,L vs Simmonds,1.15,0.75,60.8,3.0,-,46.7%,-,48.8%,32.4%,36.7%
2019 W25 Changwon R32,W vs Fanning,1.05,1.30,33.0,2.9,-,58.8%,-,64.6%,47.3%,48.0%
2019 W60 Fukuoka R16,L vs Watson,0.92,0.69,46.7,2.4,0.0%,52.5%,0.0%,51.3%,37.1%,35.5%
2019 W60 Fukuoka R32,W vs Kuwata,1.12,1.70,38.4,2.6,0.0%,66.7%,0.0%,58.3%,60.0%,52.0%
2019 W25 Chiasso R32,L vs Uebelhoer,0.92,0.66,50.0,2.5,0.0%,69.2%,0.0%,31.8%,35.5%,33.3%
2019 W15 Monastir R32,L vs Dentoni,0.84,0.71,51.3,2.1,0.0%,50.0%,0.0%,48.1%,39.4%,46.9%
2019 W15 Monastir R16,L vs Mandlik,0.81,0.61,45.0,2.1,8.3%,45.8%,4.8%,47.6%,42.4%,38.7%
2019 W15 Monastir R32,W vs Peral,1.35,6.18,26.9,2.1,0.0%,88.2%,0.0%,86.7%,50.0%,65.0%
2019 W15 Monastir SF,L vs Michel,1.04,0.49,38.1,2.0,0.0%,14.3%,0.0%,52.6%,20.0%,44.4%
2019 W15 Monastir QF,W vs Seibold,1.01,1.30,62.5,2.2,0.0%,65.8%,0.0%,61.8%,51.3%,42.1%
2019 W15 Monastir R16,W vs Karregat,1.03,1.47,48.8,2.2,3.7%,66.7%,0.0%,57.7%,55.9%,51.7%
2022 (1 matches),,0.82,0.59,35.3,2.1,0.0%,28.6%,0.0%,41.7%,41.4%,51.7%
2020 (2 matches),,0.98,1.01,40.2,2.1,10.5%,56.1%,3.8%,63.5%,41.8%,41.3%
2019 (19 matches),,1.01,1.03,49.8,2.4,0.6%,54.4%,0.3%,54.9%,44.4%,48.4%
2018 (1 matches),,1.08,0.61,50.1,2.1,7.4%,33.3%,12.0%,64.0%,20.7%,40.0%
2017 (28 matches),,1.02,1.10,56.9,2.6,0.9%,52.4%,0.7%,53.1%,51.0%,50.2%
Career (66 matches),,1.02,1.02,55.0,2.6,1.0%,51.4%,0.6%,52.5%,47.4%,48.5%
