Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,6,4,2,66.7%,9-4,69.2%,66-32,67.3%,0-0,-,6,68.8%,66.0%,0.6%,6.1%,71.1%,60.6%,46.7%,56.6%,56.7%,56.7%,1.31,QF (2x)
2025,60,43,17,71.7%,89-52,63.1%,712-591,54.6%,11-3,78.6%,59,54.6%,51.9%,0.3%,4.4%,73.2%,54.5%,44.2%,51.8%,51.2%,51.5%,1.06,W (2x)
2024,68,35,33,51.5%,78-74,51.3%,710-685,50.9%,10-7,58.8%,3,36.7%,25.8%,0.0%,6.8%,66.5%,45.7%,39.1%,43.5%,40.0%,41.7%,0.71,SF (4x)
2023,53,30,23,56.6%,66-51,56.4%,549-474,53.7%,4-3,57.1%,2,41.2%,17.6%,0.9%,7.7%,60.7%,54.9%,37.0%,47.9%,35.4%,41.7%,0.68,W (W25 Santo Domingo)
2022,54,25,29,46.3%,55-66,45.5%,532-569,48.3%,10-7,58.8%,0,,,,,,,,,,,,F (W25 Naples FL)
2021,44,20,24,45.5%,50-59,45.9%,478-520,47.9%,6-2,75.0%,2,33.3%,38.1%,0.0%,3.9%,68.0%,44.2%,38.8%,42.5%,45.2%,43.9%,0.79,W (W25 Santo Domingo)
2020,20,9,11,45.0%,20-26,43.5%,195-222,46.8%,2-1,66.7%,4,48.0%,42.0%,0.3%,4.3%,72.9%,53.2%,37.0%,48.8%,46.9%,47.9%,0.92,SF (W25 Malibu CA)
2019,62,35,27,56.5%,77-69,52.7%,697-667,51.1%,10-3,76.9%,0,,,,,,,,,,,,F (2x)
2018,28,7,21,25.0%,22-44,33.3%,259-359,41.9%,6-4,60.0%,0,,,,,,,,,,,,F (Surprise AZ $25K)
2017,65,44,21,67.7%,97-53,64.7%,775-572,57.5%,3-6,33.3%,0,,,,,,,,,,,,W (2x)
2016,37,16,21,43.2%,38-47,44.7%,371-413,47.3%,8-3,72.7%,0,,,,,,,,,,,,F (Leon $10K)
2015,51,30,21,58.8%,65-50,56.5%,544-477,53.3%,4-3,57.1%,0,,,,,,,,,,,,F (Buenos Aires $10K)
2014,62,43,19,69.4%,91-50,64.5%,714-525,57.6%,3-2,60.0%,0,,,,,,,,,,,,W (4x)
2013,64,40,24,62.5%,87-53,62.1%,709-537,56.9%,6-7,46.2%,0,,,,,,,,,,,,W (3x)
2012,51,29,22,56.9%,63-52,54.8%,537-488,52.4%,8-4,66.7%,0,,,,,,,,,,,,W (2x)
2011,23,14,9,60.9%,28-26,51.9%,237-224,51.4%,1-3,25.0%,0,,,,,,,,,,,,W (Zacatecas 10K)
2010,2,1,1,50.0%,2-2,50.0%,19-16,54.3%,0-0,-,0,,,,,,,,,,,,R16 (San Luis Potosi 10K)
2009,2,1,1,50.0%,2-3,40.0%,22-26,45.8%,0-1,0.0%,0,,,,,,,,,,,,R16 (Mazatlan Sin 10K)
Career,752,426,326,56.6%,939-781,54.6%,8126-7397,52.3%,92-59,60.9%,76,53.5%,50.0%,0.3%,4.6%,72.4%,54.2%,43.2%,51.2%,50.3%,50.7%,1.03,
