Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 s Hertogenbosch R32,L vs Cocciaretto,17% (2/12),100% (2/2),1/2,33% (4/12),25% (1/4),2/2,0/1,1/2,0/0,1/2
2024 Hua Hin 2 SF,L vs Siegemund,33% (3/9),33% (1/3),1/3,56% (5/9),20% (1/5),1/1,0/0,1/2,0/0,1/1
2024 Hua Hin 2 R16,W vs Gao,67% (8/12),88% (7/8),2/3,38% (5/13),20% (1/5),6/7,2/2,0/1,1/1,0/0
2024 US Open Q3,L vs Shibahara,38% (5/13),100% (5/5),3/7,69% (9/13),22% (2/9),2/5,1/1,0/0,0/0,0/0
2024 US Open Q2,W vs Marino,64% (7/11),71% (5/7),1/3,36% (4/11),25% (1/4),2/3,0/0,0/0,0/0,0/0
2024 US Open Q1,W vs Lamens,44% (4/9),100% (4/4),1/1,33% (3/9),67% (2/3),3/3,1/1,0/0,0/0,0/0
2023 W100 Dubai F,L vs Tikhonova,38% (3/8),67% (2/3),1/4,78% (7/9),14% (1/7),1/2,0/0,0/2,0/0,0/1
2022 W80 Rancho Santa Fe CA R16,L vs Scott,27% (3/11),67% (2/3),0/2,36% (4/11),0% (0/4),1/2,0/0,2/4,0/0,1/2
2022 Seoul R32,L vs Linette,60% (6/10),50% (3/6),1/4,60% (6/10),0% (0/6),1/3,0/0,2/4,0/0,2/3
2022 s Hertogenbosch R32,W vs Preston,53% (8/15),88% (7/8),3/6,71% (10/14),40% (4/10),4/6,1/3,0/0,0/1,0/0
2022 Charleston R64,L vs Bondar,22% (2/9),50% (1/2),1/4,75% (6/8),33% (2/6),0/1,0/0,0/0,0/0,0/0
2022 Australian Open R128,L vs Anisimova,50% (7/14),86% (6/7),2/5,69% (9/13),33% (3/9),3/6,1/1,0/1,0/0,0/0
2021 Luxembourg R16,L vs Ostapenko,31% (4/13),75% (3/4),1/5,75% (9/12),33% (3/9),2/3,1/1,0/1,0/0,0/0
2021 Luxembourg R32,W vs Friedsam,38% (6/16),50% (3/6),0/3,41% (7/17),29% (2/7),2/3,0/1,4/5,0/0,3/3
2019 W25 Osprey FL R32,L vs Li,44% (4/9),75% (3/4),2/6,75% (6/8),0% (0/6),1/3,0/0,0/0,0/0,0/0
2019 W25 Sunderland R32,L vs Robson,23% (3/13),100% (3/3),1/5,38% (5/13),0% (0/5),2/3,1/1,0/0,0/0,0/0
2019 W15 Sharm El Sheikh R16,L vs Ainitdinova,45% (5/11),60% (3/5),2/4,50% (5/10),20% (1/5),2/3,0/0,1/1,0/0,0/0
2019 W15 Sharm El Sheikh R32,W vs Stara,50% (5/10),80% (4/5),0/3,55% (6/11),50% (3/6),3/4,1/2,1/1,1/1,0/0
2019 W15 Sharm El Sheikh R16,L vs Kubareva,46% (6/13),67% (4/6),0/5,58% (7/12),29% (2/7),3/4,1/1,0/0,0/0,0/0
2019 W15 Sharm El Sheikh R32,W vs Komardina,70% (7/10),86% (6/7),2/3,33% (3/9),0% (0/3),3/5,0/2,0/0,0/1,0/0
2025 (1 matches),,16.7%,100.0%,50.0%,33.3%,25.0%,100.0%,0.0%,50.0%,-,50.0%
2024 (5 matches),,50.0%,81.5%,47.1%,47.3%,26.9%,73.7%,100.0%,33.3%,100.0%,100.0%
2023 (1 matches),,37.5%,66.7%,25.0%,77.8%,14.3%,50.0%,-,0.0%,-,0.0%
2022 (5 matches),,44.1%,73.1%,33.3%,62.5%,25.7%,50.0%,50.0%,44.4%,0.0%,60.0%
2021 (2 matches),,34.5%,60.0%,12.5%,55.2%,31.3%,66.7%,50.0%,66.7%,-,100.0%
Career (33 matches),,48.4%,77.3%,35.3%,52.3%,20.8%,61.2%,63.3%,54.3%,60.0%,64.7%
