Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,19,6,13,31.6%,16-30,34.8%,185-226,45.0%,3-2,60.0%,19,56.9%,32.4%,3.3%,7.1%,58.8%,61.4%,41.8%,53.3%,42.8%,48.2%,0.92
Clay,2,0,2,0.0%,1-4,20.0%,19-29,39.6%,0-0,-,2,41.7%,37.5%,1.2%,9.8%,53.4%,62.1%,27.6%,46.0%,45.9%,46.0%,0.85
Grass,3,1,2,33.3%,2-5,28.6%,31-40,43.7%,0-1,0.0%,3,61.8%,27.8%,2.1%,9.7%,57.2%,60.0%,46.5%,54.2%,38.3%,46.4%,0.84
Grand Slams,2,0,2,0.0%,1-4,20.0%,20-26,43.5%,0-0,-,2,45.5%,37.5%,1.1%,5.6%,65.5%,50.9%,44.3%,48.6%,42.1%,45.8%,0.82
Premiers,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,50.0%,11.1%,0.0%,5.9%,60.3%,58.5%,29.6%,47.1%,39.1%,43.2%,0.74
Internationals,21,7,14,33.3%,18-33,35.3%,210-257,45.0%,3-3,50.0%,21,57.4%,32.5%,3.3%,8.0%,57.2%,62.8%,41.2%,53.5%,42.7%,48.1%,0.92
Semi-finals,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,55.6%,11.1%,2.0%,2.0%,70.0%,57.1%,33.3%,50.0%,40.3%,44.4%,0.81
Quarter-finals,2,1,1,50.0%,3-3,50.0%,28-29,49.1%,1-0,100.0%,2,60.7%,35.7%,3.7%,6.3%,60.7%,62.1%,44.0%,55.0%,44.7%,49.9%,0.99
vs Righties,23,6,17,26.1%,17-38,30.9%,220-284,43.7%,3-3,50.0%,23,55.1%,31.9%,2.5%,7.9%,58.6%,60.5%,41.2%,52.5%,42.4%,47.5%,0.89
vs Lefties,1,1,0,100.0%,2-1,66.7%,15-11,57.7%,0-0,-,1,76.9%,38.5%,9.7%,4.9%,50.5%,76.9%,39.2%,58.3%,46.2%,52.6%,1.11
vs Top 10,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,50.0%,11.1%,3.8%,7.5%,66.0%,57.1%,38.9%,50.9%,29.2%,40.6%,0.59
