Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,10,4,6,40.0%,6,3,3,50.0%,1991,1996,QF,10,0.89,2.0%,2.9%,64.4%,65.1%,48.1%,59.1%,36.3%,54.0%,36.5%
Roland Garros,10,Clay,18,8,10,44.4%,4,1,3,25.0%,1986,1995,R16,8,0.98,2.1%,2.4%,66.0%,60.9%,46.1%,55.8%,43.1%,60.0%,46.1%
Wimbledon,5,Grass,8,3,5,37.5%,4,1,3,25.0%,1987,1994,R64,6,0.99,2.6%,4.9%,54.2%,69.1%,49.8%,60.3%,39.1%,56.1%,29.4%
US Open,11,Hard,31,20,11,64.5%,17,9,8,52.9%,1985,1995,QF,12,0.95,2.8%,4.3%,54.5%,69.5%,48.5%,60.0%,37.9%,58.5%,42.6%
Olympics,2,,3,1,2,33.3%,1,1,0,100.0%,1984,1992,R32,0,,,,,,,,,,
Davis Cup,12,,45,28,17,62.2%,13,6,7,46.2%,1984,1997,,0,,,,,,,,,,
Washington,7,Hard,15,8,7,53.3%,3,2,1,66.7%,1985,1994,SF,8,0.99,2.8%,3.6%,60.8%,65.9%,48.2%,59.0%,40.5%,58.0%,47.8%
Sao Paulo,6,Clay,20,15,5,75.0%,11,6,5,54.5%,1987,1993,W,5,1.06,2.7%,3.6%,54.9%,69.3%,52.9%,61.9%,40.2%,61.1%,34.1%
Miami Masters,6,Hard,15,9,6,60.0%,6,4,2,66.7%,1990,1995,QF,13,1.07,1.9%,3.5%,60.6%,67.1%,52.3%,61.3%,41.6%,59.0%,41.7%
Rome Masters,6,Clay,11,5,6,45.5%,6,3,3,50.0%,1990,1995,QF,9,0.96,1.3%,1.8%,62.7%,59.6%,51.9%,56.7%,41.7%,61.2%,48.3%
Indianapolis,6,Hard,8,2,6,25.0%,5,3,2,60.0%,1985,1995,R16,5,1.01,2.1%,4.9%,56.3%,67.4%,50.2%,59.9%,40.6%,63.4%,38.6%
Itaparica,5,Hard,14,10,4,71.4%,4,3,1,75.0%,1986,1990,W,0,,,,,,,,,,
