Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,135,62,73,45.9%,145-167,46.5%,1373-1437,48.9%,8-10,44.4%,52,-,-,1.3%,6.8%,62.1%,58.1%,42.6%,52.2%,44.7%,48.5%,0.93
Clay,90,32,58,35.6%,78-125,38.4%,861-1030,45.5%,7-6,53.8%,40,-,-,0.8%,6.6%,62.5%,55.0%,41.4%,49.9%,45.0%,47.5%,0.90
Grass,23,4,19,17.4%,17-39,30.4%,210-298,41.3%,3-3,50.0%,11,-,-,1.3%,7.8%,61.5%,60.4%,36.2%,51.1%,38.7%,45.2%,0.79
Carpet,2,0,2,0.0%,0-4,0.0%,8-25,24.2%,0-1,0.0%,1,-,-,0.0%,2.6%,68.4%,42.3%,33.3%,39.5%,12.5%,27.1%,0.21
Grand Slams,51,16,35,31.4%,42-73,36.5%,459-569,44.6%,3-4,42.9%,30,-,-,1.2%,6.0%,63.1%,56.1%,39.9%,50.1%,41.2%,45.7%,0.83
Premiers,46,15,31,32.6%,37-69,34.9%,415-539,43.5%,0-4,0.0%,23,-,-,1.0%,5.8%,61.8%,58.0%,43.8%,52.6%,44.5%,48.7%,0.94
Internationals,124,53,71,42.7%,128-159,44.6%,1265-1359,48.2%,8-9,47.1%,51,-,-,1.2%,7.8%,61.9%,57.4%,40.8%,51.1%,45.3%,48.2%,0.93
Finals,2,0,2,0.0%,1-4,20.0%,21-27,43.8%,0-1,0.0%,0,,,,,,,,,,,
Semi-finals,6,2,4,33.3%,5-8,38.5%,59-66,47.2%,0-0,-,0,,,,,,,,,,,
Quarter-finals,19,6,13,31.6%,14-27,34.1%,169-208,44.8%,0-2,0.0%,3,-,-,0.0%,6.1%,57.1%,38.1%,38.1%,38.1%,42.2%,40.4%,0.68
vs Righties,224,85,139,37.9%,209-309,40.3%,2176-2535,46.2%,16-18,47.1%,98,-,-,1.1%,6.8%,62.0%,56.9%,41.1%,50.9%,43.8%,47.4%,0.89
vs Lefties,22,9,13,40.9%,24-25,49.0%,227-231,49.6%,2-2,50.0%,5,-,-,2.2%,6.4%,62.7%,61.2%,43.0%,54.4%,44.0%,49.2%,0.96
vs Top 10,21,1,20,4.8%,3-41,6.8%,99-259,27.7%,1-1,50.0%,12,-,-,0.7%,6.3%,60.7%,47.2%,37.8%,43.5%,36.7%,40.2%,0.65
