Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R32,L vs Nakashima,103.0,113.3,8.8,115.6,110.6,129,95,88.4,4.6,88.8,92.0,98,78
2024 US Open R64,W vs Kecmanovic,105.6,111.8,7.3,111.3,111.0,129,89,91.4,5.5,93.7,92.3,101,79
2024 US Open R128,W vs Opelka,100.2,110.5,7.7,110.9,108.5,127,89,88.6,6.4,91.3,92.0,102,75
2024 Wimbledon SF,L vs Djokovic,109.2,114.7,5.5,114.2,114.7,128,101,93.2,5.9,95.0,89.5,105,84
2024 Wimbledon QF,W vs Fritz,106.6,115.0,5.4,116.2,115.0,128,101,92.9,7.9,93.7,89.8,110,79
2024 Wimbledon R16,W vs Mpetshi Perricard,104.0,111.0,5.1,112.7,108.7,122,99,86.4,6.5,86.6,91.0,98,75
2023 US Open R128,L vs Droguet,102.4,114.2,11.1,119.1,112.8,131,84,84.4,4.7,88.7,86.0,93,72
2023 Wimbledon R32,L vs Hurkacz,105.9,111.4,6.9,113.0,112.2,126,91,91.7,6.8,91.3,89.0,104,78
2022 US Open R32,L vs Ivashka,104.8,113.1,6.3,115.3,111.6,124,98,91.3,5.9,97.2,85.0,107,83
2022 US Open R64,W vs Brouwer,103.3,112.0,8.0,113.5,106.2,130,77,88.1,5.4,88.5,91.5,97,69
2022 US Open R128,W vs Goffin,104.2,114.2,6.3,116.7,112.7,129,92,87.0,7.4,89.8,95.8,107,74
2022 Wimbledon R128,L vs Fritz,112.8,117.1,5.2,118.2,115.6,128,104,102.3,6.7,102.1,111.0,115,88
2021 US Open R64,L vs Opelka,105.7,111.8,6.2,115.1,111.4,124,91,95.3,5.1,95.1,99.8,107,85
2021 US Open R128,W vs Nava,110.6,117.0,7.7,119.9,115.2,130,71,96.9,8.2,99.3,90.5,112,77
Career (14 matches),,105.3,113.4,7.0,115.2,112.0,131,71,90.4,6.2,93.2,92.9,115,69
