Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2006,623,33,,,,,,,,,973,19,,
2005,116,380,76,1737,81,1672,55,1739,,,133,400,,
2004,56,705,60,1789,60,1724,31,1807,96,1563,253,180,,
2003,25,1135,31,1869,35,1792,15,1876,,,104,520,80,1564
2002,9,2070,25,1897,42,1793,12,1923,,,279,145,,
2001,40,960,34,1872,42,1791,24,1858,,,268,190,,
2000,26,1115,36,1869,49,1757,11,1899,,,1085,10,,
1999,18,1572,19,1925,36,1799,6,1970,61,1657,1251,3,,
1998,14,1823,30,1887,44,1786,7,1943,53,1675,1306,2,,
1997,19,1778,19,1952,24,1863,7,1984,,,712,37,,
1996,13,1757,44,1868,57,1767,18,1925,71,1642,477,86,,
1995,24,,28,1895,121,1650,21,1880,,,733,30,,
1994,52,,115,1726,190,1533,70,1746,97,1593,1157,2,,
1993,221,,,,,,,,,,778,21,,
1992,747,,,,,,,,,,772,13,,
