Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2004 Rome SF,L vs Nalbandian,19.4%,34.3%,50.6%,25.6%,22.5%,39.4%,58.2%,31.8%,44.1%,67.6%,88.9%,14.3%,25.7%,36.7%,3
2003 Roland Garros SF,L vs Ferrero,22.4%,27.6%,47.0%,27.7%,27.9%,36.1%,54.5%,37.9%,40.7%,70.6%,66.7%,18.8%,20.8%,38.5%,62
2003 Miami SF,L vs Agassi,22.1%,31.4%,41.0%,25.0%,42.9%,54.8%,37.5%,48.8%,30.4%,36.8%,37.5%,2.6%,10.5%,43.2%,-93
2002 Roland Garros F,W vs Ferrero,18.8%,31.7%,55.7%,27.8%,21.9%,39.1%,64.0%,36.1%,38.5%,78.9%,100.0%,14.7%,20.6%,41.4%,-79
2002 Roland Garros SF,W vs Corretja,17.7%,33.9%,54.5%,27.5%,18.2%,37.5%,58.3%,31.9%,41.0%,75.5%,75.0%,17.1%,25.7%,44.8%,-37
2002 Rome QF,L vs Agassi,19.2%,28.8%,36.6%,24.4%,25.6%,33.3%,31.0%,32.6%,36.8%,45.0%,40.0%,0.0%,16.7%,50.0%,-118
2001 Hamburg SF,L vs Ferrero,10.5%,17.5%,37.3%,13.2%,11.9%,19.0%,27.0%,15.5%,57.1%,57.1%,42.9%,6.7%,13.3%,64.3%,-79
2000 Davis Cup World Group F RR,L vs Hewitt,15.5%,24.3%,51.3%,19.9%,19.5%,27.6%,52.9%,27.0%,25.0%,68.6%,75.0%,10.9%,21.8%,49.0%,-8
1998 Rome SF,W vs Berasategui,27.4%,39.3%,54.1%,36.2%,25.0%,38.9%,55.6%,35.3%,20.6%,84.2%,85.7%,41.7%,41.7%,42.9%,-79
1998 Hamburg F,W vs Corretja,14.0%,34.0%,65.1%,28.8%,17.1%,41.5%,67.6%,35.1%,35.0%,81.0%,75.0%,0.0%,0.0%,55.6%,-118
1997 Cincinnati SF,L vs Sampras,27.9%,36.1%,42.9%,34.1%,37.2%,46.5%,59.3%,46.0%,18.2%,61.9%,40.0%,6.3%,12.5%,13.3%,-57
1997 Davis Cup World Group QF RR,L vs Furlan,20.1%,36.8%,57.8%,32.1%,24.5%,45.7%,64.8%,42.8%,56.5%,47.9%,33.3%,16.2%,27.0%,41.9%,17
1996 Rome SF,L vs Muster,12.6%,21.8%,56.2%,20.0%,16.7%,28.8%,63.6%,26.4%,66.7%,66.7%,80.0%,0.0%,0.0%,33.3%,-118
1996 Monte Carlo F,L vs Muster,9.5%,19.7%,46.8%,14.6%,11.0%,20.9%,44.4%,19.2%,69.0%,67.3%,71.4%,8.5%,21.3%,51.2%,-39
1996 Monte Carlo SF,W vs Rios,16.2%,22.9%,53.5%,22.0%,24.2%,31.8%,60.0%,33.5%,65.5%,64.9%,42.9%,2.7%,8.1%,44.4%,-90
Career (15 matches),,18.0%,29.1%,50.7%,25.0%,22.1%,35.5%,54.6%,32.8%,44.6%,66.5%,64.1%,11.2%,19.0%,43.5%,-7
