Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
1993 Zurich F,W vs Navratilova,72.1%,53.1%,2.9%,1/1,2.53,71.4%,72.7%,46.9%,0.0%,2.34,65.0%,77.3%,64.7%,9.1%,2.84,82.6%
1993 US Open SF,L vs Graf,71.2%,40.4%,6.1%,3/1,2.35,42.9%,72.7%,34.4%,2.3%,2.36,67.6%,78.9%,53.3%,15.8%,2.34,19.4%
1992 US Open SF,L vs Sanchez Vicario,83.7%,50.0%,2.3%,1/0,2.27,12.5%,90.6%,48.3%,3.1%,2.21,23.8%,87.5%,57.1%,0.0%,2.33,0.0%
1990 San Diego F,L vs Graf,79.2%,44.7%,12.5%,6/0,2.00,43.2%,83.3%,43.3%,2.8%,2.00,67.9%,72.7%,50.0%,45.5%,1.98,0.0%
1990 Chicago F,L vs Navratilova,65.1%,35.7%,11.6%,3/2,2.62,60.0%,56.7%,29.4%,0.0%,2.58,65.4%,84.6%,45.5%,38.5%,2.71,50.0%
1989 Indian Wells F,W vs Byrne,63.8%,66.7%,0.0%,0/0,2.36,10.3%,95.0%,68.4%,0.0%,2.31,15.0%,84.6%,63.6%,0.0%,2.46,0.0%
1989 Indian Wells SF,W vs Sukova,79.0%,59.2%,1.6%,1/0,2.69,42.9%,75.6%,54.8%,2.4%,2.95,43.3%,94.7%,66.7%,0.0%,2.27,42.1%
1988 Olympics SF,L vs Sabatini,74.3%,26.9%,0.0%,0/0,2.20,11.8%,53.3%,37.5%,0.0%,2.26,18.2%,90.0%,22.2%,0.0%,2.08,0.0%
1987 Hilton Head F,L vs Graf,83.7%,44.4%,2.3%,1/1,2.55,62.3%,92.9%,44.2%,1.8%,2.57,70.8%,95.2%,45.0%,4.8%,2.50,30.8%
Career (9 matches),,75.3%,47.5%,4.2%,76.2%,2.41,42.7%,78.6%,45.6%,1.6%,2.42,52.1%,85.6%,51.2%,11.0%,2.39,26.9%
