Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1994,14,12,2,85.7%,24-7,77.4%,177-104,63.0%,0-2,0.0%,0,,,,,,,,,,,,W (Osaka)
1993,52,36,16,69.2%,74-38,66.1%,555-431,56.3%,4-2,66.7%,0,,,,,,,,,,,,W (2x)
1992,50,37,13,74.0%,75-31,70.8%,550-370,59.8%,2-4,33.3%,0,,,,,,,,,,,,W (Bayonne)
1991,60,45,15,75.0%,88-34,72.1%,632-410,60.7%,6-6,50.0%,0,,,,,,,,,,,,W (3x)
1990,58,42,16,72.4%,86-40,68.3%,628-400,61.1%,3-1,75.0%,0,,,,,,,,,,,,F (3x)
1989,50,36,14,72.0%,73-33,68.9%,540-375,59.0%,3-2,60.0%,0,,,,,,,,,,,,W (2x)
1988,60,45,15,75.0%,90-31,74.4%,635-395,61.7%,7-4,63.6%,0,,,,,,,,,,,,W (2x)
1987,65,48,17,73.8%,102-45,69.4%,757-525,59.0%,4-5,44.4%,0,,,,,,,,,,,,W (2x)
1986,66,45,21,68.2%,98-44,69.0%,721-502,59.0%,5-6,45.5%,0,,,,,,,,,,,,F (3x)
1985,68,49,19,72.1%,100-40,71.4%,737-461,61.5%,5-5,50.0%,0,,,,,,,,,,,,W (Tokyo Pan Pacific)
1984,73,56,17,76.7%,113-48,70.2%,827-572,59.1%,7-2,77.8%,0,,,,,,,,,,,,W (5x)
1983,40,23,17,57.5%,51-37,58.0%,403-348,53.7%,2-1,66.7%,0,,,,,,,,,,,,QF (2x)
1982,25,15,10,60.0%,29-23,55.8%,231-223,50.9%,3-3,50.0%,0,,,,,,,,,,,,F (Bastad)
Career,681,489,192,71.8%,1003-451,69.0%,7393-5116,59.1%,51-43,54.3%,0,,,,,,,,,,,,
