Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
1993 Zurich F,W vs Navratilova,27.8%,38.9%,54.0%,31.0%,41.4%,52.5%,58.6%,48.3%,60.0%,23.3%,36.7%,56.5%,50.0%,15.0%,0.0%,-28
1993 US Open SF,L vs Graf,19.4%,23.7%,40.0%,32.0%,40.0%,44.1%,44.8%,38.1%,75.0%,5.3%,5.3%,36.1%,14.3%,25.0%,40.0%,-65
1992 US Open SF,L vs Sanchez Vicario,4.3%,10.6%,33.3%,4.2%,16.7%,43.5%,38.5%,18.2%,0.0%,5.0%,5.0%,21.1%,11.1%,9.1%,0.0%,-69
1990 San Diego F,L vs Graf,17.5%,24.6%,31.8%,15.2%,27.3%,28.6%,47.1%,25.0%,0.0%,23.8%,23.8%,37.5%,50.0%,0.0%,-,-49
1990 Chicago F,L vs Navratilova,24.5%,34.0%,40.0%,25.7%,34.3%,46.2%,68.8%,26.3%,20.0%,22.2%,33.3%,28.6%,66.7%,0.0%,0.0%,-104
1989 Indian Wells F,W vs Byrne,13.0%,19.6%,62.1%,23.1%,30.8%,65.0%,91.7%,28.6%,100.0%,0.0%,11.1%,55.6%,0.0%,20.0%,-,-119
1989 Indian Wells SF,W vs Sukova,18.5%,27.7%,59.2%,18.9%,27.0%,50.0%,46.7%,27.3%,0.0%,20.8%,33.3%,73.7%,6.7%,22.2%,33.3%,30
1988 Olympics SF,L vs Sabatini,3.5%,5.3%,43.1%,5.7%,5.7%,39.4%,36.8%,6.3%,0.0%,0.0%,5.6%,50.0%,71.4%,0.0%,0.0%,-119
1987 Hilton Head F,L vs Graf,12.6%,16.1%,41.0%,14.3%,19.6%,41.7%,36.7%,61.5%,42.9%,18.8%,18.8%,38.5%,33.3%,20.0%,0.0%,63
Career (9 matches),,16.6%,23.2%,44.5%,20.3%,28.2%,45.0%,50.0%,34.5%,28.2%,13.9%,19.6%,43.7%,32.1%,13.6%,21.4%,14
