Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1994,,,33,1929,15,1943,,,,,,,,
1993,11,103,11,2089,11,2019,18,1953,20,1802,,,,
1992,9,81,16,2037,15,1955,16,1938,24,1779,,,,
1991,10,87,10,2103,10,2003,10,2006,,,,,,
1990,9,103,12,2112,11,2012,11,1998,13,1867,,,,
1989,9,84,12,2027,11,1929,7,1994,,,,,,
1988,6,82,6,2148,6,2041,5,2051,9,1950,,,,
1987,8,83,8,2167,7,2037,6,2085,8,1976,,,,
1986,10,60,8,2091,9,1970,7,2025,6,1953,,,,
1985,7,,5,2172,9,1964,4,2079,7,1978,,,,
1984,6,,3,2193,7,1894,3,2128,7,1945,,,,
1983,,,32,1872,42,1685,28,1799,34,1718,,,,
1982,,,31,1853,66,1610,22,1800,23,1750,,,,
