Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1995 Davis Cup World Group F RR,L vs Sampras,17.4%,21.3%,52.5%,20.6%,19.8%,25.0%,59.7%,24.9%,28.9%,39.7%,50.0%,15.1%,17.0%,40.0%,31
1995 Davis Cup World Group SF RR,W vs Stich,20.9%,25.6%,55.9%,25.5%,23.9%,28.4%,60.2%,31.1%,53.8%,40.4%,33.3%,22.2%,28.9%,45.7%,-46
1993 Hamburg F,L vs Stich,15.0%,31.4%,62.2%,22.1%,12.9%,28.0%,63.0%,23.7%,41.2%,30.5%,11.1%,19.1%,38.3%,60.5%,-79
1993 Hamburg SF,W vs Karbacher,11.1%,14.8%,46.2%,12.0%,12.9%,16.1%,48.1%,14.5%,46.7%,43.8%,50.0%,14.3%,21.4%,41.7%,-79
1992 Wimbledon R128,L vs Agassi,34.0%,39.6%,36.7%,37.4%,45.3%,51.2%,38.3%,51.7%,37.8%,53.1%,50.0%,22.7%,28.8%,35.3%,47
1992 Indian Wells F,L vs Chang,11.4%,15.2%,45.1%,15.6%,12.1%,19.0%,47.1%,19.7%,35.7%,60.0%,55.6%,11.1%,11.1%,42.5%,-46
1991 Canada F,W vs Korda,24.1%,34.9%,43.5%,27.7%,32.6%,46.5%,37.9%,39.5%,60.0%,43.5%,33.3%,15.4%,23.1%,48.5%,-41
1991 Canada SF,W vs Lendl,16.1%,20.7%,52.9%,17.8%,17.3%,23.1%,51.2%,20.2%,37.0%,44.0%,100.0%,16.7%,20.0%,56.0%,49
1990 Roland Garros R16,L vs Leconte,17.9%,27.8%,50.0%,22.6%,21.3%,28.1%,47.1%,29.4%,50.0%,37.3%,44.4%,16.0%,34.0%,54.8%,42
1990 Monte Carlo F,W vs Muster,12.5%,15.4%,53.4%,15.1%,14.8%,19.7%,53.8%,19.2%,69.6%,39.5%,33.3%,10.0%,10.0%,52.8%,-13
1990 Monte Carlo SF,W vs Sanchez,11.8%,19.4%,57.0%,19.6%,11.5%,21.3%,61.1%,23.3%,69.2%,37.1%,0.0%,13.8%,17.2%,48.0%,19
1989 Roland Garros SF,L vs Chang,6.2%,8.3%,50.9%,9.7%,9.6%,13.7%,54.5%,16.6%,68.8%,53.7%,50.0%,3.8%,3.8%,46.0%,-79
1989 Roland Garros SF,L vs Chang,6.2%,8.3%,50.9%,9.7%,9.6%,13.7%,54.5%,16.6%,68.8%,53.7%,50.0%,3.8%,3.8%,46.0%,-79
Career (13 matches),,16.3%,22.3%,51.1%,20.3%,19.4%,26.3%,53.8%,26.4%,50.5%,43.4%,41.7%,14.2%,19.9%,47.1%,-7
