Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
1995 Davis Cup RR,L vs Sampras,28% (7/25),71% (5/7),2/6,36% (9/25),22% (2/9),4/4,0/0,3/4,0/0,2/2
1993 Hamburg F,L vs Stich,32% (7/22),14% (1/7),0/3,29% (6/21),50% (3/6),1/1,0/1,4/4,0/0,1/1
1992 Wimbledon R128,L vs Agassi,32% (7/22),57% (4/7),1/7,52% (11/21),36% (4/11),2/4,1/2,0/0,0/0,0/0
1992 Indian Wells F,L vs Chang,33% (5/15),60% (3/5),0/4,56% (9/16),22% (2/9),2/3,0/0,2/5,0/0,1/2
1991 Canada F,W vs Korda,71% (10/14),60% (6/10),1/5,43% (6/14),17% (1/6),4/5,1/2,0/0,1/2,0/0
1990 Monte Carlo F,W vs Muster,60% (9/15),89% (8/9),3/4,40% (6/15),33% (2/6),4/6,1/3,0/0,0/1,0/0
1990 Monte Carlo SF,W vs Sanchez,36% (5/14),100% (5/5),1/4,27% (4/15),0% (0/4),3/5,1/2,2/2,0/1,1/1
1995 (1 matches),,28.0%,71.4%,33.3%,36.0%,22.2%,100.0%,-,75.0%,-,100.0%
1993 (1 matches),,31.8%,14.3%,0.0%,28.6%,50.0%,100.0%,0.0%,100.0%,-,100.0%
1992 (2 matches),,32.4%,58.3%,9.1%,54.1%,30.0%,57.1%,50.0%,40.0%,-,50.0%
1991 (1 matches),,71.4%,60.0%,20.0%,42.9%,16.7%,80.0%,50.0%,-,50.0%,-
1990 (2 matches),,48.3%,92.9%,50.0%,33.3%,20.0%,63.6%,40.0%,100.0%,0.0%,100.0%
Career (7 matches),,39.4%,64.0%,24.2%,40.2%,27.5%,71.4%,40.0%,73.3%,25.0%,83.3%
