Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
1995 Davis Cup World Group F RR,L vs Sampras,69.3%,44.3%,2.6%,4/0,2.03,23.0%,50.7%,50.0%,2.7%,2.09,26.0%,94.4%,41.2%,2.8%,1.94,17.8%
1995 Davis Cup World Group SF RR,W vs Stich,60.7%,53.6%,1.9%,4/0,2.23,24.6%,52.5%,54.7%,0.0%,2.23,30.1%,86.7%,52.8%,4.8%,2.24,11.4%
1993 Hamburg F,L vs Stich,64.8%,47.7%,5.5%,5/4,1.88,51.3%,57.3%,49.1%,3.1%,1.88,43.2%,85.2%,46.2%,9.8%,1.88,68.4%
1993 Hamburg SF,W vs Karbacher,83.7%,58.5%,0.0%,0/0,2.25,0.0%,85.7%,66.7%,0.0%,2.27,0.0%,100.0%,55.2%,0.0%,2.21,0.0%
1992 Wimbledon R128,L vs Agassi,75.7%,42.7%,6.6%,6/3,2.28,1.0%,67.5%,44.4%,2.5%,2.25,2.1%,96.1%,40.8%,13.7%,2.31,0.0%
1992 Indian Wells F,L vs Chang,81.4%,40.0%,0.0%,0/0,1.99,4.4%,77.2%,40.9%,0.0%,1.98,8.0%,92.9%,38.5%,0.0%,2.01,0.0%
1991 Canada F,W vs Korda,81.7%,52.6%,4.3%,3/1,1.83,29.0%,81.4%,54.2%,3.4%,1.88,41.4%,90.3%,50.0%,6.5%,1.79,18.2%
1991 Canada SF,W vs Lendl,73.6%,54.7%,2.3%,2/0,2.07,41.2%,68.4%,57.7%,2.6%,2.20,53.5%,92.7%,52.6%,2.4%,1.84,20.0%
1990 Roland Garros R16,L vs Leconte,71.5%,49.0%,8.0%,5/6,2.40,42.9%,57.6%,47.4%,7.6%,2.51,40.0%,95.2%,50.0%,9.5%,2.20,47.6%
1990 Monte Carlo F,W vs Muster,87.7%,55.9%,1.9%,2/0,1.87,2.3%,87.6%,56.4%,0.0%,1.89,3.8%,100.0%,53.3%,13.3%,1.83,0.0%
1990 Monte Carlo SF,W vs Sanchez,93.5%,47.1%,4.3%,4/0,2.27,32.9%,91.8%,46.7%,4.1%,2.40,42.6%,95.5%,47.6%,4.5%,2.00,12.0%
1989 Roland Garros SF,L vs Chang,80.1%,42.4%,1.9%,3/0,1.94,3.4%,93.9%,43.5%,0.0%,2.03,6.1%,91.7%,39.4%,8.3%,1.82,0.0%
1989 Roland Garros SF,L vs Chang,76.3%,42.0%,1.9%,3/0,1.94,3.4%,94.6%,42.5%,0.0%,2.03,6.1%,91.4%,40.6%,8.6%,1.82,0.0%
Career (13 matches),,74.8%,47.8%,3.4%,74.5%,2.07,20.6%,73.3%,48.7%,1.9%,2.13,24.3%,92.4%,46.7%,6.5%,1.98,14.9%
