Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
1995 Davis Cup RR,L vs Sampras,47,45,1.0,15.3%,14.6%,36,39,0.9,13.1%,14.2%,3.6%,8.0%,0.9,24.4%,26.0%
1995 Davis Cup RR,W vs Stich,38,32,1.2,11.0%,9.2%,36,31,1.2,11.1%,9.6%,4.0%,6.5%,1.1,22.5%,21.4%
1993 Hamburg Masters F,L vs Stich,42,26,1.6,13.8%,8.5%,42,26,1.6,14.9%,9.2%,6.7%,8.2%,1.0,18.7%,19.3%
1993 Hamburg Masters SF,W vs Karbacher,6,9,0.7,7.8%,11.7%,5,9,0.6,6.8%,12.2%,1.4%,5.4%,0.5,20.8%,42.9%
1992 Wimbledon R128,L vs Agassi,39,54,0.7,13.3%,18.4%,23,48,0.5,8.8%,18.3%,2.3%,4.6%,1.0,15.4%,15.4%
1992 Indian Wells Masters F,L vs Chang,16,47,0.3,8.5%,24.9%,13,46,0.3,7.2%,25.6%,1.7%,5.0%,0.6,14.8%,23.3%
1991 Canada Masters F,W vs Korda,17,24,0.7,9.7%,13.6%,15,23,0.7,8.8%,13.5%,5.9%,2.9%,0.8,19.9%,24.4%
1991 Canada Masters SF,W vs Lendl,20,37,0.5,12.3%,22.8%,18,34,0.5,12.1%,22.8%,9.4%,2.7%,0.4,11.7%,28.4%
1990 Roland Garros R16,L vs Leconte,44,24,1.8,15.9%,8.7%,40,19,2.1,15.6%,7.4%,5.1%,10.5%,1.2,24.9%,21.7%
1990 Monte Carlo Masters F,W vs Muster,28,32,0.9,13.6%,15.5%,23,30,0.8,11.9%,15.5%,7.7%,4.1%,0.5,13.1%,28.6%
1990 Monte Carlo Masters SF,W vs Sanchez,32,26,1.2,17.2%,14.0%,30,23,1.3,16.8%,12.8%,11.2%,5.6%,1.6,19.4%,12.4%
1989 Roland Garros SF,L vs Chang,43,54,0.8,25.1%,31.6%,40,54,0.7,24.0%,32.3%,10.2%,13.8%,0.8,24.6%,32.7%
Career (12 matches),,372,410,0.9,13.8%,15.2%,321,382,0.8,12.8%,15.2%,5.6%,6.7%,0.8,19.5%,23.1%
